Frederik Andersen,/players/a/anderfr01.html,G,125,317,0,8,8,60.4,184,0,5,5,77
Tom Askey,/players/a/askeyto01.html,G,7,7,0,0,0,0.5,0,0,0,0,0
Jonathan Bernier,/players/b/bernijo01.html,G,39,324,0,5,5,54.9,137,0,0,0,21
Reto Berra,/players/b/berrare01.html,G,5,76,0,1,1,8.9,20,0,0,0,1
Kevin Boyle,/players/b/boyleke01.html,G,5,5,0,0,0,1.0,1,0,0,0,1
Ilya Bryzgalov,/players/b/bryzgil01.html,G,77,465,0,12,12,81.3,221,0,4,4,27
Sebastien Caron,/players/c/caronse01.html,G,1,95,0,1,1,11.8,26,0,0,0,0
Jeff Deslauriers,/players/d/drouije01.html,G,4,62,0,4,4,9.4,23,0,0,0,3
Dan Ellis,/players/e/ellisda01.html,G,23,212,0,6,6,30.1,87,0,1,1,9
Ray Emery,/players/e/emeryra01.html,G,10,287,0,4,4,42.3,145,0,0,0,7
Viktor Fasth,/players/f/fasthvi01.html,G,30,63,0,0,0,8.4,26,0,0,0,17
Martin Gerber,/players/g/gerbema01.html,G,54,229,0,7,7,41.7,113,0,1,1,17
Chad Johnson,/players/j/johnsch02.html,G,9,192,0,3,3,26.4,80,0,0,0,0
Anton Khudobin,/players/k/khudoan01.html,G,9,188,0,3,3,33.0,83,0,0,0,3
Jason LaBarbera,/players/l/labarja01.html,G,5,187,0,2,2,28.7,62,0,0,0,2
Curtis McElhinney,/players/m/mcelhcu01.html,G,31,219,0,4,4,31.6,82,0,1,1,11
Ryan Miller,/players/m/millery01.html,G,48,757,0,11,11,146.7,378,0,0,0,20
Gregg Naumenko,/players/n/naumegr01.html,G,2,2,0,0,0,-0.3,0,0,0,0,0
Mike O'Neill,/players/o/oneilmi01.html,G,1,21,0,0,0,1.0,0,0,0,0,0
Timo Pielmeier,/players/p/pielmti01.html,G,1,1,0,0,0,-0.4,0,0,0,0,0
Dominic Roussel,/players/r/roussdo01.html,G,51,205,0,4,4,28.8,77,0,0,0,12
Steve Shields,/players/s/shielst01.html,G,33,246,0,2,2,39.4,80,0,0,0,9
Mikhail Shtalenkov,/players/s/shtalmi01.html,G,122,190,0,6,6,24.4,62,0,3,3,34
Iiro Tarkki,/players/t/tarkkii01.html,G,1,1,0,0,0,-0.2,1,0,0,0,1
Dustin Tokarski,/players/t/tokardu01.html,G,1,34,0,2,2,4.0,10,0,0,0,0
Ron Tugnutt,/players/t/tugnuro01.html,G,28,537,0,7,7,78.9,186,0,0,0,10
Michael Wall,/players/w/wallmi01.html,G,4,4,0,1,1,0.2,2,0,1,1,2
Antti Aalto,/players/a/aaltoan01.html,C,151,151,11,17,28,0.4,0,11,17,28,0
Pontus Aberg,/players/a/abergpo01.html,LW,37,127,17,26,43,3.2,0,11,8,19,0
Bryan Allen,/players/a/allenbr01.html,D,115,721,29,107,136,31.1,0,0,17,17,0
Shawn Antoski,/players/a/antossh01.html,LW,11,183,3,5,8,-4.4,0,1,0,1,0
Chris Armstrong,/players/a/armstch01.html,D,4,7,0,1,1,0.0,0,0,1,1,0
Evgeny Artyukhin,/players/a/artyuev01.html,RW,37,199,19,30,49,3.4,0,4,5,9,0
Maxim Balmochnykh,/players/b/balmoma01.html,LW,6,6,0,1,1,0.1,0,0,1,1,0
Frank Banham,/players/b/banhafr01.html,RW,27,32,9,2,11,1.1,0,9,2,11,0
Drew Bannister,/players/b/bannidr01.html,D,28,164,5,25,30,5.4,0,0,6,6,0
Ken Baumgartner,/players/b/baumgke01.html,LW,79,696,13,41,54,-6.6,0,0,12,12,0
Robin Bawa,/players/b/bawaro01.html,RW,12,61,6,1,7,-1.2,0,0,1,1,0
Mark Bell,/players/b/bellma01.html,C,5,450,87,95,182,15.5,0,0,0,0,0
Brian Bellows,/players/b/bellobr01.html,LW,62,1188,485,537,1022,83.1,0,15,13,28,0
Marc-Andre Bergeron,/players/b/bergema02.html,D,9,490,82,153,235,42.6,0,0,1,1,0
Todd Bertuzzi,/players/b/bertuto01.html,RW,68,1159,314,456,770,77.4,0,14,26,40,0
Maxim Bets,/players/b/betsma01.html,LW,3,3,0,0,0,-0.2,0,0,0,0,0
Jesse Blacker,/players/b/blackje01.html,D,1,1,0,0,0,-0.2,0,0,0,0,0
Jason Blake,/players/b/blakeja01.html,LW,147,871,213,273,486,46.9,0,29,30,59,0
Joseph Blandisi,/players/b/blandjo01.html,C,6,80,8,18,26,1.4,0,0,0,0,0
Brandon Bochenski,/players/b/bochebr01.html,RW,12,156,28,40,68,6.7,0,2,2,4,0
Troy Bodie,/players/b/bodietr01.html,RW,57,159,9,12,21,0.5,0,5,3,8,0
Jared Boll,/players/b/bollja01.html,RW,61,579,28,38,66,0.5,0,1,3,4,0
Nick Bonino,/players/b/boninni01.html,C,189,559,104,143,247,24.6,0,33,49,82,0
Rene Bourque,/players/b/bourqre01.html,RW,30,725,163,153,316,30.4,0,2,6,8,0
Nick Boynton,/players/b/boyntni01.html,D,42,605,34,110,144,30.0,0,1,6,7,0
Kip Brennan,/players/b/brennki01.html,LW,12,61,1,1,2,-0.2,0,0,1,1,0
Tim Brent,/players/b/brentti01.html,C,15,207,21,27,48,3.1,0,1,0,1,0
Eric Brewer,/players/b/breweer01.html,D,9,1009,77,194,271,48.7,0,1,1,2,0
Aris Brimanis,/players/b/brimaar01.html,D,5,113,2,12,14,2.5,0,0,0,0,0
J.T. Brown,/players/b/brownjt01.html,RW,23,365,23,49,72,3.3,0,1,2,3,0
Mike Brown,/players/b/brownmi02.html,RW,103,407,19,17,36,-1.5,0,8,2,10,0
Mike Brown,/players/b/brownmi01.html,LW,16,34,1,2,3,0.2,0,1,1,2,0
Garrett Burnett,/players/b/burnega01.html,LW,39,39,1,2,3,0.2,0,1,2,3,0
Viacheslav Butsayev,/players/b/butsavi01.html,C,7,132,17,26,43,1.0,0,1,0,1,0
