David Aebischer,/players/a/aebisda01.html,G,1,214,0,5,5,39.1,106,0,0,0,0
Alex Auld,/players/a/auldal01.html,G,9,237,0,7,7,35.8,91,0,0,0,3
Stephane Beauregard,/players/b/beaurst01.html,G,74,90,0,2,2,10.6,19,0,1,1,16
Marc Behrend,/players/b/behrema01.html,G,39,39,0,0,0,3.7,12,0,0,0,12
Daniel Berthiaume,/players/b/berthda01.html,G,120,215,0,4,4,29.4,81,0,3,3,50
Zac Bierk,/players/b/bierkza01.html,G,20,47,0,1,1,6.2,9,0,0,0,4
Dan Bouchard,/players/b/bouchda01.html,G,32,656,0,24,24,113.7,286,0,1,1,11
Brian Boucher,/players/b/bouchbr01.html,G,96,328,0,3,3,43.0,120,0,1,1,28
Tim Cheveldae,/players/c/cheveti01.html,G,74,340,0,16,16,45.8,149,0,1,1,21
Alain Chevrier,/players/c/chevral01.html,G,22,234,0,11,11,26.0,91,0,4,4,8
Matt Climie,/players/c/climima01.html,G,1,5,0,0,0,0.6,2,0,0,0,0
Patrick DesRochers,/players/d/desropa01.html,G,9,11,0,0,0,0.5,2,0,0,0,1
Michel Dion,/players/d/dionmi01.html,G,14,227,0,5,5,29.7,60,0,0,0,3
Louis Domingue,/players/d/dominlo01.html,G,84,122,0,2,2,18.3,55,0,1,1,27
Tom Draper,/players/d/drapeto01.html,G,9,53,0,3,3,6.4,19,0,0,0,3
Devan Dubnyk,/players/d/dubnyde01.html,G,19,490,0,8,8,88.0,235,0,0,0,9
Parris Duffus,/players/d/duffupa01.html,G,1,1,0,0,0,0.0,0,0,0,0,0
Robert Esche,/players/e/eschero01.html,G,58,186,0,8,8,24.9,78,0,3,3,18
Thomas Greiss,/players/g/greisth01.html,G,25,251,0,3,3,42.3,121,0,0,0,10
Pierre Hamel,/players/h/hamelpi01.html,G,64,69,0,3,3,6.3,13,0,3,3,12
Brian Hayward,/players/h/haywabr01.html,G,165,357,0,13,13,49.1,143,0,8,8,63
Adin Hill,/players/h/hillad01.html,G,17,17,0,0,0,1.9,8,0,0,0,8
Mark Holden,/players/h/holdema01.html,G,4,8,0,1,1,0.7,2,0,1,1,2
Jim Hrivnak,/players/h/hrivnji01.html,G,3,85,0,5,5,9.5,34,0,0,0,2
Pat Jablonski,/players/j/jablopa01.html,G,2,128,0,4,4,14.4,28,0,0,0,0
Brent Johnson,/players/j/johnsbr02.html,G,8,309,0,10,10,43.2,140,0,0,0,1
Chad Johnson,/players/j/johnsch02.html,G,4,192,0,3,3,26.4,80,0,0,0,2
Curtis Joseph,/players/j/josepcu01.html,G,115,943,0,31,31,167.2,454,0,1,1,50
Darcy Kuemper,/players/k/kuempda01.html,G,65,186,0,4,4,31.5,80,0,2,2,29
Jason LaBarbera,/players/l/labarja01.html,G,68,187,0,2,2,28.7,62,0,0,0,22
Marek Langhamer,/players/l/langhma01.html,G,2,2,0,0,0,0.2,0,0,0,0,0
Scott Langkow,/players/l/langksc01.html,G,5,20,0,0,0,0.4,3,0,0,0,0
David LeNeveu,/players/l/lenevda01.html,G,21,22,0,0,0,2.4,5,0,0,0,5
Anders Lindback,/players/l/lindban01.html,G,19,130,0,4,4,16.6,45,0,1,1,5
Ron Loustel,/players/l/loustro01.html,G,1,1,0,0,0,-0.3,0,0,0,0,0
Markus Mattsson,/players/m/mattsma01.html,G,52,92,0,1,1,10.8,21,0,1,1,8
Curtis McElhinney,/players/m/mcelhcu01.html,G,2,219,0,4,4,31.6,82,0,0,0,1
Mike McKenna,/players/m/mckenmi01.html,G,1,35,0,1,1,3.5,7,0,0,0,0
Lindsay Middlebrook,/players/m/middlli01.html,G,24,37,0,0,0,2.1,3,0,0,0,2
Hunter Miska,/players/m/miskahu01.html,G,1,1,0,0,0,0.0,0,0,0,0,0
Al Montoya,/players/m/montoal01.html,G,5,168,0,5,5,23.7,67,0,0,0,3
Mike Morrison,/players/m/morrimi01.html,G,4,29,0,1,1,1.4,11,0,0,0,0
Mike O'Neill,/players/o/oneilmi01.html,G,20,21,0,0,0,1.0,0,0,0,0,0
Jean-Marc Pelletier,/players/p/pelleje01.html,G,6,7,0,0,0,0.0,1,0,0,0,1
Steve Penney,/players/p/pennest01.html,G,15,91,0,1,1,9.3,35,0,0,0,3
Justin Peters,/players/p/peterju01.html,G,3,83,0,2,2,10.6,25,0,0,0,0
Calvin Pickard,/players/p/pickaca01.html,G,6,104,0,3,3,15.5,32,0,0,0,0
Antti Raanta,/players/r/raantan01.html,G,59,153,0,3,3,26.8,73,0,1,1,26
Pokey Reddick,/players/r/reddipo01.html,G,117,132,0,1,1,16.9,46,0,1,1,41
Dominic Roussel,/players/r/roussdo01.html,G,7,205,0,4,4,28.8,77,0,0,0,2
Philippe Sauve,/players/s/sauveph01.html,G,5,32,0,0,0,3.3,10,0,0,0,0
Mikhail Shtalenkov,/players/s/shtalmi01.html,G,19,190,0,6,6,24.4,62,0,3,3,8
Gary Smith,/players/s/smithga01.html,G,20,531,0,7,7,69.8,174,0,0,0,4
Doug Soetaert,/players/s/soetado01.html,G,130,284,0,7,7,35.9,110,0,6,6,50
Ed Staniowski,/players/s/stanied01.html,G,63,219,0,9,9,26.0,67,0,6,6,24
Rick Tabaracci,/players/t/tabarri01.html,G,61,286,0,8,8,35.5,93,0,2,2,15
Mikael Tellqvist,/players/t/tellqmi01.html,G,67,113,0,2,2,15.3,45,0,2,2,27
Josh Tordjman,/players/t/tordjjo01.html,G,2,2,0,0,0,0.1,0,0,0,0,0
Niklas Treutle,/players/t/treutni01.html,G,2,2,0,0,0,-0.3,0,0,0,0,0
Mike Veisor,/players/v/veisomi01.html,G,8,139,0,3,3,16.0,41,0,0,0,4
Mark Visentin,/players/v/visenma01.html,G,1,1,0,0,0,0.2,0,0,0,0,0
Jimmy Waite,/players/w/waiteji01.html,G,33,106,0,1,1,8.3,28,0,0,0,11
Darcy Wakaluk,/players/w/wakalda01.html,G,16,191,0,6,6,24.1,67,0,1,1,8
Scott Wedgewood,/players/w/wedgesc01.html,G,20,24,0,0,0,3.3,7,0,0,0,5
Ramzi Abid,/players/a/abidra01.html,LW,30,68,14,16,30,2.8,0,10,8,18,0
Greg Adams,/players/a/adamsgr02.html,LW,144,1056,355,388,743,62.5,0,38,51,89,0
Kevyn Adams,/players/a/adamske01.html,C,33,540,59,77,136,7.6,0,1,7,8,0
Mika Alatalo,/players/a/alatami01.html,LW,152,152,17,29,46,3.2,0,17,29,46,0
Mike Amodeo,/players/a/amodemi01.html,D,19,19,0,0,0,0.0,0,0,0,0,0
Tony Amonte,/players/a/amontto01.html,RW,59,1174,416,484,900,95.3,0,13,23,36,0
Josh Archibald,/players/a/archijo01.html,RW,107,121,20,16,36,3.8,0,17,16,33,0
Mark Arcobello,/players/a/arcobma01.html,RW,27,139,24,29,53,4.8,0,9,7,16,0
Joel Baillargeon,/players/b/bailljo01.html,LW,15,20,0,2,2,-0.5,0,0,2,2,0
Frank Banham,/players/b/banhafr01.html,RW,5,32,9,2,11,1.1,0,0,0,0,0
Don Barber,/players/b/barbedo01.html,W,27,115,25,32,57,3.3,0,1,5,6,0
Stu Barnes,/players/b/barnest01.html,C,102,1136,261,336,597,53.7,0,25,23,48,0
Murray Baron,/players/b/baronmu01.html,D,53,988,35,94,129,34.5,0,1,5,6,0
Sergei Bautin,/players/b/bautise01.html,D,130,132,5,25,30,5.1,0,5,25,30,0
Sandy Beadle,/players/b/beadlsa01.html,LW,6,6,1,0,1,0.0,0,1,0,1,0
Eric Belanger,/players/b/belaner01.html,C,82,820,138,220,358,28.9,0,13,27,40,0
Brendan Bell,/players/b/bellbr02.html,D,16,102,7,21,28,3.9,0,0,2,2,0
Drake Berehowsky,/players/b/berehdr01.html,D,39,549,37,112,149,29.2,0,2,6,8,0
Sergei Berezin,/players/b/berezse01.html,LW,41,502,160,126,286,33.0,0,7,9,16,0
Brad Berry,/players/b/berrybr01.html,D,163,241,4,28,32,9.7,0,4,25,29,0
