George Abbott,/players/a/abbotge01.html,G,1,1,0,0,0,0.0,0
John Adams,/players/a/adamsjo02.html,G,14,22,0,0,0,1.5,9
Alex Auld,/players/a/auldal01.html,G,23,237,0,7,7,35.8,91
Scott Bailey,/players/b/bailesc01.html,G,19,19,0,0,0,1.4,6
Mike Bales,/players/b/balesmi01.html,G,1,23,0,0,0,1.6,2
Marco Baron,/players/b/baronma01.html,G,64,86,0,4,4,14.7,34
Yves Belanger,/players/b/belanyv01.html,G,8,78,0,4,4,8.9,29
Harvey Bennett,/players/b/benneha01.html,G,25,25,0,0,0,3.1,10
Daniel Berthiaume,/players/b/berthda01.html,G,8,215,0,4,4,29.4,81
Paul Bibeault,/players/b/bibeapa01.html,G,43,215,0,0,0,31.0,81
Craig Billington,/players/b/billicr01.html,G,35,332,0,6,6,33.4,110
Richard Bittner,/players/b/bittnri01.html,G,1,1,0,0,0,0.1,0
John Blue,/players/b/bluejo01.html,G,41,46,0,2,2,6.0,16
Ken Broderick,/players/b/brodeke01.html,G,20,27,0,1,1,4.2,11
Ross Brooks,/players/b/brookro01.html,G,54,54,0,1,1,11.1,37
Jim Carey,/players/c/careyji01.html,G,29,172,0,1,1,20.5,79
Jon Casey,/players/c/caseyjo01.html,G,57,425,0,13,13,61.8,170
Ed Chadwick,/players/c/chadwed01.html,G,4,184,0,0,0,26.9,57
Tim Cheveldae,/players/c/cheveti01.html,G,2,340,0,16,16,45.8,149
Les Colvin,/players/c/colvile01.html,G,1,1,0,0,0,0.0,0
Maurice Courteau,/players/c/courtma01.html,G,6,6,0,0,0,0.4,2
Jim Craig,/players/c/craigji01.html,G,23,30,0,1,1,4.2,11
Wilf Cude,/players/c/cudewi01.html,G,2,281,0,0,0,33.2,98
Nick Damore,/players/d/damorni01.html,G,1,1,0,0,0,0.2,1
Cleon Daskalakis,/players/d/daskacl01.html,G,12,12,0,0,0,0.7,3
Norm Defelice,/players/d/defelno01.html,G,10,10,0,0,0,1.3,3
Matt DelGuidice,/players/d/delguma01.html,G,11,11,0,0,0,1.3,2
Claude Evans,/players/e/evanscl01.html,G,1,5,0,0,0,0.2,1
Manny Fernandez,/players/f/fernama01.html,G,32,325,0,6,6,59.4,143
Brian Finley,/players/f/finlebr01.html,G,2,4,0,0,0,0.0,0
Norm Foster,/players/f/fosteno01.html,G,3,13,0,0,0,1.1,7
Hec Fowler,/players/f/fowlehe01.html,G,7,7,0,0,0,-1.8,1
Jimmy Franks,/players/f/frankji01.html,G,1,42,0,0,0,5.2,12
Bruce Gamble,/players/g/gamblbr01.html,G,80,328,0,1,1,42.5,111
Bert Gardiner,/players/g/gardibe01.html,G,41,144,0,1,1,19.2,49
Jack Gelineau,/players/g/gelinja01.html,G,141,143,0,0,0,17.3,46
Andre Gill,/players/g/gillan01.html,G,5,5,0,0,0,0.7,3
