Jorge Alves,/players/a/alvesjo01.html,G,1,1,0,0,0,0.0,0,0,0,0,0
Tom Barrasso,/players/b/barrato01.html,G,34,777,0,48,48,127.8,369,0,0,0,13
Brian Boucher,/players/b/bouchbr01.html,G,10,328,0,3,3,43.0,120,0,0,0,1
Richard Brodeur,/players/b/broderi01.html,G,6,385,0,8,8,56.7,131,0,0,0,4
Corrie D'Alessio,/players/d/dalesco01.html,G,1,1,0,0,0,0.0,0,0,0,0,0
Scott Darling,/players/d/darlisc01.html,G,51,126,0,0,0,18.5,54,0,0,0,15
Patrick DesRochers,/players/d/desropa01.html,G,2,11,0,0,0,0.5,2,0,0,0,1
Dan Ellis,/players/e/ellisda01.html,G,19,212,0,6,6,30.1,87,0,2,2,6
Eric Fichaud,/players/f/fichaer01.html,G,9,95,0,1,1,12.2,22,0,0,0,3
Mark Fitzpatrick,/players/f/fitzpma01.html,G,3,329,0,12,12,52.5,113,0,0,0,0
Mike Fountain,/players/f/fountmi01.html,G,3,11,0,0,0,0.7,2,0,0,0,0
John Garrett,/players/g/garrejo01.html,G,122,207,0,3,3,23.4,68,0,3,3,36
Martin Gerber,/players/g/gerbema01.html,G,60,229,0,7,7,41.7,113,0,2,2,38
Jean-Sebastien Giguere,/players/g/gigueje01.html,G,8,597,0,7,7,107.6,262,0,0,0,1
Mario Gosselin,/players/g/gossema01.html,G,23,241,0,9,9,29.2,91,0,1,1,5
John Grahame,/players/g/grahajo01.html,G,45,224,0,9,9,29.2,97,0,4,4,15
Ken Holland,/players/h/hollake01.html,G,1,4,0,0,0,-0.1,0,0,0,0,0
Pat Jablonski,/players/j/jablopa01.html,G,5,128,0,4,4,14.4,28,0,0,0,1
Anton Khudobin,/players/k/khudoan01.html,G,70,188,0,3,3,33.0,83,0,0,0,27
Trevor Kidd,/players/k/kiddtr01.html,G,72,387,0,13,13,56.2,140,0,0,0,28
Eddie Lack,/players/l/lacked01.html,G,54,144,0,2,2,20.5,56,0,2,2,20
Manny Legace,/players/l/legacma01.html,G,28,365,0,9,9,60.2,187,0,1,1,10
Michael Leighton,/players/l/leighmi01.html,G,33,110,0,4,4,14.5,37,0,1,1,10
Mike Lenarduzzi,/players/l/lenarmi01.html,G,4,4,0,0,0,0.6,1,0,0,0,1
Curtis McElhinney,/players/m/mcelhcu01.html,G,33,219,0,4,4,31.6,82,0,0,0,20
Ross McKay,/players/m/mckayro01.html,G,1,1,0,0,0,0.0,0,0,0,0,0
Kirk McLean,/players/m/mcleaki01.html,G,8,612,0,23,23,84.0,245,0,1,1,4
Tyler Moss,/players/m/mossty01.html,G,12,30,0,1,1,3.3,6,0,0,0,1
Petr Mrazek,/players/m/mrazepe01.html,G,40,223,0,3,3,34.1,101,0,1,1,23
Mike Murphy,/players/m/murphmi02.html,G,2,2,0,0,0,0.1,0,0,0,0,0
Jason Muzzatti,/players/m/muzzaja01.html,G,53,62,0,1,1,7.3,13,0,1,1,13
Alex Nedeljkovic,/players/n/nedelal01.html,G,2,2,0,0,0,0.5,1,0,0,0,1
Justin Peters,/players/p/peterju01.html,G,68,83,0,2,2,10.6,25,0,2,2,22
Frank Pietrangelo,/players/p/pietrfr01.html,G,54,141,0,3,3,16.9,46,0,0,0,12
Daryl Reaugh,/players/r/reaugda01.html,G,20,27,0,0,0,3.5,8,0,0,0,7
Jeff Reese,/players/r/reeseje01.html,G,37,174,0,8,8,19.9,53,0,1,1,9
Peter Sidorkiewicz,/players/s/sidorpe01.html,G,178,246,0,9,9,28.3,79,0,9,9,71
Al Smith,/players/s/smithal03.html,G,30,231,0,7,7,30.4,73,0,1,1,11
Ed Staniowski,/players/s/stanied01.html,G,19,219,0,9,9,26.0,67,0,0,0,6
Jamie Storr,/players/s/storrja01.html,G,14,219,0,3,3,33.2,85,0,0,0,0
Mike Veisor,/players/v/veisomi01.html,G,69,139,0,3,3,16.0,41,0,1,1,17
Kevin Weekes,/players/w/weekeke01.html,G,119,348,0,3,3,52.6,105,0,0,0,39
Steve Weeks,/players/w/weeksst01.html,G,94,291,0,7,7,40.3,112,0,1,1,41
Kay Whitmore,/players/w/whitmka01.html,G,75,155,0,9,9,16.4,60,0,5,5,23
Thommy Abrahamsson,/players/a/abrahth01.html,D,32,32,6,11,17,2.5,0,6,11,17,0
Greg Adams,/players/a/adamsgr01.html,LW,79,544,84,143,227,8.8,0,10,13,23,0
Jim Agnew,/players/a/agnewji01.html,D,16,81,0,1,1,2.0,0,0,0,0,0
Andrew Alberts,/players/a/alberan01.html,D,62,459,8,47,55,13.4,0,2,8,10,0
Bryan Allen,/players/a/allenbr01.html,D,101,721,29,107,136,31.1,0,1,18,19,0
Steve Alley,/players/a/alleyst01.html,LW,15,15,3,3,6,0.1,0,3,3,6,0
Ray Allison,/players/a/allisra01.html,RW,70,238,64,93,157,9.7,0,17,12,29,0
Russ Anderson,/players/a/anderru01.html,D,82,519,22,99,121,24.7,0,1,9,10,0
Mikael Andersson,/players/a/andermi01.html,LW,165,761,95,169,264,12.8,0,35,60,95,0
Mike Antonovich,/players/a/antonmi01.html,C,5,87,10,15,25,-0.2,0,0,1,1,0
Fred Arthur,/players/a/arthufr01.html,D,3,80,1,8,9,2.2,0,0,0,0,0
Keith Aucoin,/players/a/aucoike01.html,C,53,145,17,32,49,4.3,0,5,10,15,0
Anton Babchuk,/players/b/babchan01.html,D,163,289,36,71,107,21.1,0,24,38,62,0
Wayne Babych,/players/b/babycwa01.html,RW,41,519,192,246,438,31.4,0,11,17,28,0
Jergus Baca,/players/b/bacaje01.html,D,10,10,0,2,2,0.3,0,0,2,2,0
Reid Bailey,/players/b/bailere01.html,D,12,40,1,3,4,1.5,0,0,0,0,0
Norm Barnes,/players/b/barneno01.html,D,74,156,6,38,44,7.3,0,2,14,16,0
Dave Barr,/players/b/barrda01.html,RW,30,614,128,204,332,19.9,0,2,4,6,0
Ryan Bayda,/players/b/baydary01.html,LW,179,179,16,24,40,1.8,0,16,24,40,0
Jake Bean,/players/b/beanja01.html,D,2,2,0,0,0,0.0,0,0,0,0,0
Eric Belanger,/players/b/belaner01.html,C,56,820,138,220,358,28.9,0,8,12,20,0
Brett Bellemore,/players/b/bellebr01.html,D,121,121,4,16,20,5.2,0,4,16,20,0
Bill Bennett,/players/b/bennebi01.html,LW,24,31,4,7,11,0.3,0,3,3,6,0
Marc-Andre Bergeron,/players/b/bergema02.html,D,13,490,82,153,235,42.6,0,0,4,4,0
Marc Bergevin,/players/b/bergema01.html,D,79,1191,36,145,181,46.5,0,7,17,24,0
Bryan Bickell,/players/b/bickebr01.html,LW,11,395,66,70,136,14.0,0,1,0,1,0
Danny Biega,/players/b/biegada01.html,D,10,10,0,2,2,0.1,0,0,2,2,0
Clark Bishop,/players/b/bishocl01.html,C,20,20,1,2,3,0.0,0,1,2,3,0
James Black,/players/b/blackja01.html,LW,32,352,58,57,115,8.6,0,4,6,10,0
Nicolas Blanchard,/players/b/blancni01.html,LW,9,9,0,0,0,-0.2,0,0,0,0,0
Bob Bodak,/players/b/bodakbo01.html,LW,1,4,0,0,0,-0.2,0,0,0,0,0
Troy Bodie,/players/b/bodietr01.html,RW,50,159,9,12,21,0.5,0,1,2,3,0
Casey Borer,/players/b/borerca01.html,D,16,16,1,2,3,0.3,0,1,2,3,0
Tim Bothwell,/players/b/bothwti01.html,D,66,501,28,93,121,28.9,0,3,8,11,0
Bob Boughner,/players/b/boughbo01.html,D,43,630,15,57,72,22.7,0,0,5,5,0
Jesse Boulerice,/players/b/bouleje01.html,RW,150,172,8,2,10,0.1,0,8,2,10,0
Dan Bourbonnais,/players/b/bourbda01.html,LW,59,59,3,25,28,0.6,0,3,25,28,0
Charlie Bourgeois,/players/b/bourgch01.html,D,1,290,16,54,70,16.7,0,0,0,0,0
