Brian Boucher,/players/b/bouchbr01.html,G,3,328,0,3,3,43.0,120,0,0,0,1
Fred Brathwaite,/players/b/brathfr01.html,G,21,254,0,3,3,35.1,81,0,0,0,4
Ty Conklin,/players/c/conklty01.html,G,11,215,0,3,3,31.0,96,0,0,0,2
Wade Dubielewicz,/players/d/dubiewa01.html,G,3,43,0,0,0,7.8,18,0,0,0,1
Anton Forsberg,/players/f/forsban01.html,G,10,45,0,1,1,5.1,11,0,0,0,1
Mathieu Garon,/players/g/garonma01.html,G,71,341,0,7,7,49.0,144,0,1,1,22
Shawn Hunwick,/players/h/hunwish01.html,G,1,1,0,0,0,0.0,0,0,0,0,0
Joonas Korpisalo,/players/k/korpijo01.html,G,90,90,0,0,0,13.2,41,0,0,0,41
Jean-Francois Labbe,/players/l/labbeje01.html,G,14,15,0,0,0,1.2,3,0,0,0,3
Dan LaCosta,/players/l/lacosda01.html,G,4,4,0,0,0,0.9,2,0,0,0,2
Pascal Leclaire,/players/l/leclapa01.html,G,125,173,0,4,4,26.4,61,0,4,4,45
David LeNeveu,/players/l/lenevda01.html,G,1,22,0,0,0,2.4,5,0,0,0,0
Curtis McElhinney,/players/m/mcelhcu01.html,G,85,219,0,4,4,31.6,82,0,2,2,26
Mike McKenna,/players/m/mckenmi01.html,G,4,35,0,1,1,3.5,7,0,0,0,1
Fredrik Norrena,/players/n/norrefr01.html,G,100,100,0,1,1,12.6,35,0,1,1,35
Tomas Popperle,/players/p/poppeto01.html,G,2,2,0,0,0,0.1,0,0,0,0,0
Martin Prusek,/players/p/prusema01.html,G,9,57,0,1,1,7.6,31,0,0,0,3
Curtis Sanford,/players/s/sanfocu01.html,G,36,144,0,1,1,19.7,47,0,0,0,10
Ron Tugnutt,/players/t/tugnuro01.html,G,97,537,0,7,7,78.9,186,0,2,2,34
Allen York,/players/y/yorkal01.html,G,11,11,0,0,0,1.4,3,0,0,0,3
Luke Adam,/players/a/adamlu01.html,C,3,90,15,11,26,2.3,0,0,0,0,0
Kevyn Adams,/players/a/adamske01.html,C,66,540,59,77,136,7.6,0,8,12,20,0
Jamie Allison,/players/a/allisja01.html,D,55,372,7,23,30,6.3,0,0,1,1,0
Artem Anisimov,/players/a/anisiar01.html,C,168,703,163,184,347,36.2,0,40,44,84,0
Serge Aubin,/players/a/aubinse01.html,LW,152,374,44,64,108,5.7,0,21,25,46,0
Adrian Aucoin,/players/a/aucoiad01.html,D,36,1108,121,278,399,80.9,0,0,4,4,0
Christian Backman,/players/b/backmch01.html,D,56,302,23,56,79,18.2,0,2,5,7,0
Jaroslav Balastik,/players/b/balasja01.html,RW,74,74,13,11,24,1.9,0,13,11,24,0
Cody Bass,/players/b/bassco01.html,C,15,75,2,3,5,-0.3,0,0,1,1,0
