Niklas Backstrom,/players/b/backsni01.html,G,4,413,0,5,5,73.4,196
Yves Belanger,/players/b/belanyv01.html,G,22,78,0,4,4,8.9,29
Tim Bernhardt,/players/b/bernhti01.html,G,6,67,0,3,3,9.4,17
Reto Berra,/players/b/berrare01.html,G,29,76,0,1,1,8.9,20
Brian Boucher,/players/b/bouchbr01.html,G,3,328,0,3,3,43.0,120
Fred Brathwaite,/players/b/brathfr01.html,G,138,254,0,3,3,35.1,81
Jim Craig,/players/c/craigji01.html,G,4,30,0,1,1,4.2,11
Marc D'Amour,/players/d/damouma01.html,G,15,16,0,0,0,2.3,2
Doug Dadswell,/players/d/dadswdo01.html,G,27,27,0,2,2,2.6,8
Don Edwards,/players/e/edwardo01.html,G,114,459,0,15,15,85.0,208
Brian Elliott,/players/e/elliobr01.html,G,49,441,0,8,8,68.3,225
Grant Fuhr,/players/f/fuhrgr01.html,G,23,868,0,47,47,128.6,403
Tyrone Garner,/players/g/garnety01.html,G,3,3,0,0,0,-0.1,0
Jean-Sebastien Giguere,/players/g/gigueje01.html,G,22,597,0,7,7,107.6,262
Jon Gillies,/players/g/gillijo01.html,G,12,12,0,0,0,1.4,4
Steve Guenette,/players/g/guenest01.html,G,3,35,0,1,1,5.6,19
Jonas Hiller,/players/h/hillejo01.html,G,78,404,0,8,8,70.1,197
Leland Irving,/players/i/irvinle01.html,G,13,13,0,1,1,1.8,3
Chad Johnson,/players/j/johnsch02.html,G,36,192,0,3,3,26.4,80
Curtis Joseph,/players/j/josepcu01.html,G,9,943,0,31,31,167.2,454
Henrik Karlsson,/players/k/karlshe01.html,G,26,26,0,0,0,3.2,5
Matt Keetley,/players/k/keetlma01.html,G,1,1,0,0,0,0.0,0
Trevor Kidd,/players/k/kiddtr01.html,G,178,387,0,13,13,56.2,140
Eddie Lack,/players/l/lacked01.html,G,4,144,0,2,2,20.5,56
Joey MacDonald,/players/m/macdojo01.html,G,32,133,0,1,1,19.2,44
Curtis McElhinney,/players/m/mcelhcu01.html,G,29,219,0,4,4,31.6,82
Jamie McLennan,/players/m/mclenja01.html,G,57,254,0,3,3,31.5,80
Tyler Moss,/players/m/mossty01.html,G,17,30,0,1,1,3.3,6
Jason Muzzatti,/players/m/muzzaja01.html,G,2,62,0,1,1,7.3,13
Joni Ortio,/players/o/ortiojo01.html,G,37,37,0,2,2,4.0,15
Karri Ramo,/players/r/ramoka01.html,G,111,159,0,4,4,22.9,60
Jeff Reese,/players/r/reeseje01.html,G,39,174,0,8,8,19.9,53
Pat Riggin,/players/r/riggipa01.html,G,119,350,0,7,7,51.3,153
David Rittich,/players/r/rittida01.html,G,67,67,0,0,0,9.5,35
Dwayne Roloson,/players/r/rolosdw01.html,G,70,606,0,14,14,102.0,227
Dany Sabourin,/players/s/sabouda01.html,G,4,57,0,1,1,6.7,18
Philippe Sauve,/players/s/sauveph01.html,G,8,32,0,0,0,3.3,10
Scott Sharples,/players/s/sharpsc01.html,G,1,1,0,0,0,0.3,0
Mike Smith,/players/s/smithmi01.html,G,97,571,1,15,16,99.1,243
Rick Tabaracci,/players/t/tabarri01.html,G,97,286,0,8,8,35.5,93
Daniel Taylor,/players/t/tayloda02.html,G,2,4,0,0,0,0.4,1
