Red Almas,/players/a/almasre01.html,G,1,3,0,0,0,0.0,0,0,0,0,0
Craig Anderson,/players/a/andercr01.html,G,56,614,0,17,17,116.0,278,0,1,1,12
Hank Bassen,/players/b/basseha01.html,G,33,157,0,2,2,21.6,47,0,0,0,6
Jean-Francois Berube,/players/b/berubje02.html,G,13,34,0,0,0,3.5,9,0,0,0,3
Paul Bibeault,/players/b/bibeapa01.html,G,41,215,0,0,0,31.0,81,0,0,0,13
Brian Boucher,/players/b/bouchbr01.html,G,15,328,0,3,3,43.0,120,0,0,0,1
Frank Brimsek,/players/b/brimsfr01.html,G,70,514,0,0,0,95.4,252,0,0,0,22
Ken Brown,/players/b/brownke01.html,G,1,1,0,0,0,0.0,0,0,0,0,0
Sebastien Caron,/players/c/caronse01.html,G,1,95,0,1,1,11.8,26,0,0,0,1
Lorne Chabot,/players/c/chabolo01.html,G,48,412,0,0,0,75.3,200,0,0,0,26
Alain Chevrier,/players/c/chevral01.html,G,66,234,0,11,11,26.0,91,0,2,2,29
Chris Clifford,/players/c/cliffch01.html,G,2,2,0,0,0,0.1,0,0,0,0,0
Jacques Cloutier,/players/c/cloutja01.html,G,53,255,0,7,7,31.9,82,0,0,0,20
Tom Cook,/players/c/cookto01.html,C,1,348,76,98,174,20.5,0,0,2,2,0
Wilf Cude,/players/c/cudewi01.html,G,1,281,0,0,0,33.2,98,0,0,0,0
Scott Darling,/players/d/darlisc01.html,G,75,126,0,0,0,18.5,54,0,0,0,39
Collin Delia,/players/d/deliaco01.html,G,18,18,0,0,0,3.1,7,0,0,0,7
Gerry Desjardins,/players/d/desjage01.html,G,32,332,0,2,2,47.5,123,0,0,0,17
Bill Dickie,/players/d/dickibi01.html,G,1,1,0,0,0,0.2,1,0,0,0,1
Dave Dryden,/players/d/drydeda01.html,G,68,203,0,4,4,26.7,69,0,2,2,24
Michel Dumas,/players/d/dumasmi01.html,G,8,8,0,1,1,0.6,2,0,1,1,2
Ray Emery,/players/e/emeryra01.html,G,55,287,0,4,4,42.3,145,0,1,1,32
Mark Fitzpatrick,/players/f/fitzpma01.html,G,27,329,0,12,12,52.5,113,0,1,1,6
Anton Forsberg,/players/f/forsban01.html,G,35,45,0,1,1,5.1,11,0,1,1,10
Scott Foster,/players/f/fostesc01.html,G,1,1,0,0,0,0.1,0,0,0,0,0
Emile Francis,/players/f/francem01.html,G,73,95,0,0,0,8.1,32,0,0,0,25
Ray Frederick,/players/f/fredera01.html,G,5,5,0,0,0,-0.2,0,0,0,0,0
Bert Gardiner,/players/g/gardibe01.html,G,50,144,0,1,1,19.2,49,0,0,0,17
Jack Gelineau,/players/g/gelinja01.html,G,2,143,0,0,0,17.3,46,0,0,0,0
Jeff Glass,/players/g/glassje01.html,G,15,15,0,0,0,1.8,3,0,0,0,3
Paul Goodman,/players/g/goodmpa01.html,G,52,52,0,0,0,10.6,23,0,0,0,23
Jeff Hackett,/players/h/hackeje01.html,G,173,500,0,9,9,82.6,166,0,3,3,63
Dominik Hasek,/players/h/hasekdo01.html,G,25,735,0,19,19,156.8,389,0,0,0,13
Jim Henry,/players/h/henryji01.html,G,60,405,0,0,0,57.9,161,0,0,0,21
Hec Highton,/players/h/highthe01.html,G,24,24,0,0,0,3.3,10,0,0,0,10
Cristobal Huet,/players/h/huetcr01.html,G,89,272,0,3,3,48.2,129,0,0,0,46
Carter Hutton,/players/h/huttoca01.html,G,1,188,0,4,4,28.9,81,0,0,0,0
Doug Jackson,/players/j/jacksdo01.html,G,6,6,0,0,0,-1.4,1,0,0,0,1
Bob Janecyk,/players/j/janecbo01.html,G,8,111,0,4,4,15.7,44,0,0,0,2
Eddie Johnston,/players/j/johnsed01.html,G,4,592,0,10,10,81.2,236,0,0,0,1
Patrick Lalime,/players/l/lalimpa01.html,G,44,444,0,6,6,65.5,200,0,0,0,20
Marc Lamothe,/players/l/lamotma01.html,G,2,4,0,0,0,0.3,2,0,0,0,1
Michel Larocque,/players/l/larocmi02.html,G,3,3,0,0,0,0.0,0,0,0,0,0
Ray LeBlanc,/players/l/leblara01.html,G,1,1,0,0,0,0.2,1,0,0,0,1
Hugh Lehman,/players/l/lehmahu01.html,G,48,48,0,0,0,2.3,20,0,0,0,20
Michael Leighton,/players/l/leighmi01.html,G,43,110,0,4,4,14.5,37,0,2,2,8
Sam LoPresti,/players/l/lopresa01.html,G,74,74,0,0,0,10.1,30,0,0,0,30
Harry Lumley,/players/l/lumleha01.html,G,134,803,0,0,0,133.6,330,0,0,0,29
Jean Marois,/players/m/maroije01.html,G,2,3,0,0,0,-0.2,1,0,0,0,0
Bob Mason,/players/m/masonbo01.html,G,41,145,0,4,4,22.2,55,0,2,2,13
Gilles Meloche,/players/m/melocgi01.html,G,2,788,0,22,22,113.8,270,0,0,0,2
Greg Millen,/players/m/millegr01.html,G,13,604,0,18,18,84.6,215,0,1,1,5
Adam Munro,/players/m/munroad01.html,G,17,17,0,1,1,1.8,4,0,1,1,4
Antti Niemi,/players/n/niemian02.html,G,42,464,0,12,12,73.8,242,0,1,1,27
Jack Norris,/players/n/norrija01.html,G,10,58,0,0,0,3.8,20,0,0,0,3
Darren Pang,/players/p/pangda01.html,G,81,81,0,9,9,13.6,27,0,9,9,27
Steve Passmore,/players/p/passmst01.html,G,73,93,0,2,2,10.9,23,0,1,1,19
Marcel Pelletier,/players/p/pellema01.html,G,6,8,0,0,0,-0.3,1,0,0,0,1
Antti Raanta,/players/r/raantan01.html,G,39,153,0,3,3,26.8,73,0,1,1,20
Moe Roberts,/players/r/robermo01.html,G,1,10,0,0,0,-0.1,3,0,0,0,0
Bob Sauve,/players/s/sauvebo01.html,G,84,420,0,15,15,69.1,182,0,5,5,38
Kent Simpson,/players/s/simpske01.html,G,1,1,0,0,0,-0.1,0,0,0,0,0
Warren Skorodenski,/players/s/skorowa01.html,G,32,35,0,0,0,6.7,12,0,0,0,12
Gary Smith,/players/s/smithga01.html,G,51,531,0,7,7,69.8,174,0,0,0,24
Christian Soucy,/players/s/soucych01.html,G,1,1,0,0,0,0.0,0,0,0,0,0
Doug Stevenson,/players/s/stevedo01.html,G,4,8,0,0,0,0.5,2,0,0,0,2
Robbie Tallas,/players/t/tallaro01.html,G,12,99,0,0,0,9.8,28,0,0,0,2
Chris Terreri,/players/t/terrech01.html,G,28,406,0,13,13,57.4,151,0,1,1,12
Andrei Trefilov,/players/t/trefian01.html,G,7,54,0,0,0,7.6,12,0,0,0,1
Marty Turco,/players/t/turcoma01.html,G,29,543,0,22,22,83.9,275,0,0,0,11
Matt Underhill,/players/u/underma01.html,G,1,1,0,0,0,0.1,0,0,0,0,0
Mike Veisor,/players/v/veisomi01.html,G,62,139,0,3,3,16.0,41,0,2,2,20
Gilles Villemure,/players/v/villegi01.html,G,21,205,0,2,2,38.1,100,0,0,0,2
Jimmy Waite,/players/w/waiteji01.html,G,58,106,0,1,1,8.3,28,0,1,1,14
Cam Ward,/players/w/wardca01.html,G,33,701,1,12,13,113.8,334,0,1,1,16
Spencer Abbott,/players/a/abbotsp01.html,LW,1,2,0,0,0,-0.1,0,0,0,0,0
Sid Abel*,/players/a/abelsi01.html,C/LW,42,612,188,284,472,49.4,0,5,4,9,0
Craig Adams,/players/a/adamscr01.html,RW,71,951,55,105,160,1.9,0,4,8,12,0
Kevyn Adams,/players/a/adamske01.html,C,27,540,59,77,136,7.6,0,0,2,2,0
Stew Adams,/players/a/adamsst01.html,LW,85,93,9,26,35,2.5,0,9,24,33,0
Rudy Ahlin,/players/a/ahlinru01.html,LW,1,1,0,0,0,0.0,0,0,0,0,0
Johnathan Aitken,/players/a/aitkejo01.html,D,41,44,0,1,1,0.0,0,0,1,1,0
Nikita Alexeev,/players/a/alexeni01.html,RW,15,159,20,17,37,2.4,0,2,0,2,0
Jamie Allison,/players/a/allisja01.html,D,142,372,7,23,30,6.3,0,4,8,12,0
Alexander Andrievski,/players/a/andrial01.html,RW,1,1,0,0,0,0.0,0,0,0,0,0
Darrel Anholt,/players/a/anholda01.html,D,1,1,0,0,0,0.1,0,0,0,0,0
Al Arbour*,/players/a/arboual01.html,D,180,626,12,58,70,39.3,0,6,17,23,0
Ty Arbour,/players/a/arbouty01.html,LW,160,207,28,28,56,4.7,0,21,20,41,0
Michel Archambault,/players/a/archami01.html,LW,3,3,0,0,0,-0.2,0,0,0,0,0
Denis Arkhipov,/players/a/arkhide01.html,C,79,352,56,82,138,10.8,0,10,17,27,0
Frank Ashworth,/players/a/ashwofr01.html,C,18,18,5,4,9,0.5,0,5,4,9,0
Blair Atcheynum,/players/a/atchebl01.html,RW,66,196,27,33,60,3.4,0,6,9,15,0
Adrian Aucoin,/players/a/aucoiad01.html,D,92,1108,121,278,399,80.9,0,5,17,22,0
Pete Babando,/players/b/babanpe01.html,LW,148,351,86,73,159,13.8,0,34,38,72,0
Anton Babchuk,/players/b/babchan01.html,D,22,289,36,71,107,21.1,0,2,5,7,0
Ralph Backstrom,/players/b/backsra01.html,C,16,1032,278,361,639,54.8,0,6,3,9,0
Bob Bailey,/players/b/bailebo01.html,RW,28,149,15,21,36,1.2,0,3,6,9,0
Doug Baldwin,/players/b/baldwdo01.html,D,5,24,0,1,1,0.8,0,0,0,0,0
Steve Bancroft,/players/b/bancrst01.html,D,1,6,0,1,1,0.0,0,0,0,0,0
Michal Barinka,/players/b/barinmi01.html,D,34,34,0,2,2,-0.2,0,0,2,2,0
Doug Barkley,/players/b/barkldo01.html,D,6,253,24,80,104,23.3,0,0,0,0,0
Matthew Barnaby,/players/b/barnama01.html,RW,82,834,113,187,300,22.9,0,8,20,28,0
Milan Bartovic,/players/b/bartomi01.html,RW,24,50,3,14,17,1.3,0,1,6,7,0
Bob Bassen,/players/b/bassebo01.html,C,55,765,88,144,232,6.3,0,5,13,18,0
Nolan Baumgartner,/players/b/baumgno01.html,D,8,143,7,40,47,8.4,0,0,0,0,0
Kyle Baun,/players/b/baunky01.html,RW,5,5,0,0,0,-0.2,0,0,0,0,0
James Bedard,/players/b/bedarja01.html,D,22,22,1,1,2,0.3,0,1,1,2,0
Adam Bennett,/players/b/bennead01.html,D,21,69,3,8,11,2.8,0,0,2,2,0
Reg Bentley,/players/b/bentlre01.html,LW,11,11,1,2,3,-0.1,0,1,2,3,0
Bryan Berard,/players/b/berarbr01.html,D,58,619,76,247,323,45.4,0,13,34,47,0
Sergei Berezin,/players/b/berezse01.html,LW,66,502,160,126,286,33.0,0,18,13,31,0
Adam Berti,/players/b/bertiad01.html,LW,2,2,0,0,0,0.0,0,0,0,0,0
Phil Besler,/players/b/besleph01.html,RW,17,30,1,4,5,-0.4,0,1,2,3,0
Radim Bicanek,/players/b/bicanra01.html,D,18,122,1,11,12,3.4,0,0,3,3,0
James Black,/players/b/blackja01.html,LW,129,352,58,57,115,8.6,0,25,19,44,0
Steve Black,/players/b/blackst01.html,LW,39,113,11,20,31,0.7,0,4,6,10,0
Hank Blade,/players/b/bladeha01.html,LW,24,24,2,3,5,-0.4,0,2,3,5,0
Andy Blair,/players/b/blairan01.html,C,44,405,74,87,161,19.9,0,0,3,3,0
Russ Blinco,/players/b/blincru01.html,C,48,265,59,66,125,14.1,0,3,12,15,0
Mike Blunden,/players/b/blundmi01.html,RW,10,127,7,6,13,0.1,0,0,0,0,0
Brandon Bochenski,/players/b/bochebr01.html,RW,30,156,28,40,68,6.7,0,4,2,6,0
Brandon Bollig,/players/b/bollibr01.html,LW,125,241,10,13,23,-1.5,0,7,7,14,0
Peter Bondra,/players/b/bondrpe01.html,RW,37,1081,503,389,892,104.3,0,5,9,14,0
Dennis Bonvie,/players/b/bonvide01.html,RW,11,92,1,2,3,-0.7,0,0,0,0,0
Christian Bordeleau,/players/b/bordech01.html,C,25,205,38,65,103,7.2,0,6,8,14,0
Helge Bostrom,/players/b/bostrhe01.html,D,96,96,3,3,6,7.6,0,3,3,6,0
Georges Boucher*,/players/b/bouchge01.html,D,43,450,118,87,205,77.5,0,1,5,6,0
Bruce Boudreau,/players/b/boudrbr01.html,C,7,141,28,42,70,3.5,0,1,0,1,0
Andre Boudrias,/players/b/boudran01.html,LW,20,662,151,340,491,35.6,0,4,10,14,0
Lance Bouma,/players/b/boumala01.html,C,53,357,30,46,76,4.3,0,3,6,9,0
Rene Bourque,/players/b/bourqre01.html,RW,183,725,163,153,316,30.4,0,33,42,75,0
Kirk Bowman,/players/b/bowmaki01.html,LW,88,88,11,17,28,0.9,0,11,17,28,0
