David Aebischer,/players/a/aebisda01.html,G,174,214,0,5,5,39.1,106
Sami Aittokallio,/players/a/aittosa01.html,G,2,2,0,0,0,0.1,0
Craig Anderson,/players/a/andercr01.html,G,104,614,0,17,17,116.0,278
Jonathan Bernier,/players/b/bernijo01.html,G,37,324,0,5,5,54.9,137
Reto Berra,/players/b/berrare01.html,G,35,76,0,1,1,8.9,20
Craig Billington,/players/b/billicr01.html,G,67,332,0,6,6,33.4,110
Mario Brunetta,/players/b/brunema01.html,G,40,40,0,0,0,4.7,12
Jacques Cloutier,/players/c/cloutja01.html,G,58,255,0,7,7,31.9,82
Marc Denis,/players/d/denisma01.html,G,28,349,0,6,6,56.2,112
Michel Dion,/players/d/dionmi01.html,G,62,227,0,5,5,29.7,60
Brian Elliott,/players/e/elliobr01.html,G,12,441,0,8,8,68.3,225
Stephane Fiset,/players/f/fisetst01.html,G,188,390,0,12,12,62.2,164
Brian Ford,/players/f/fordbr01.html,G,3,11,0,0,0,0.9,3
Pavel Francouz,/players/f/francpa01.html,G,2,2,0,0,0,0.3,0
John Garrett,/players/g/garrejo01.html,G,29,207,0,3,3,23.4,68
Jean-Sebastien Giguere,/players/g/gigueje01.html,G,72,597,0,7,7,107.6,262
Scott Gordon,/players/g/gordosc01.html,G,23,23,0,0,0,0.6,2
Mario Gosselin,/players/g/gossema01.html,G,192,241,0,9,9,29.2,91
Ron Grahame,/players/g/graharo02.html,G,8,114,0,3,3,14.7,50
Philipp Grubauer,/players/g/grubaph01.html,G,37,138,0,1,1,24.9,61
Andrew Hammond,/players/h/hammoan01.html,G,1,56,0,1,1,10.8,27
Ron Hextall,/players/h/hextaro01.html,G,54,608,1,32,33,95.0,296
Goran Hogosta,/players/h/hogosgo01.html,G,21,22,0,0,0,2.2,5
Vitali Kolesnik,/players/k/kolesvi01.html,G,8,8,0,1,1,0.8,3
Ron Low,/players/l/lowro01.html,G,15,382,0,4,4,33.4,102
Clint Malarchuk,/players/m/malarcl01.html,G,139,337,0,15,15,54.5,141
Spencer Martin,/players/m/martisp01.html,G,3,3,0,0,0,0.0,0
Bob Mason,/players/m/masonbo01.html,G,22,145,0,4,4,22.2,55
Greg Millen,/players/m/millegr01.html,G,18,604,0,18,18,84.6,215
Sergei Mylnikov,/players/m/mylnise01.html,G,10,10,0,0,0,1.2,1
Calvin Pickard,/players/p/pickaca01.html,G,86,104,0,3,3,15.5,32
Michel Plasse,/players/p/plassmi01.html,G,41,298,0,7,7,36.8,92
Andrew Raycroft,/players/r/raycran01.html,G,31,280,0,3,3,38.6,113
Tommy Salo,/players/s/saloto01.html,G,5,526,0,7,7,78.6,210
Philippe Sauve,/players/s/sauveph01.html,G,17,32,0,0,0,3.3,10
Richard Sevigny,/players/s/sevigri01.html,G,35,176,0,1,1,29.2,80
Jeremy Smith,/players/s/smithje02.html,G,10,10,0,0,0,0.8,1
Garth Snow,/players/s/snowga01.html,G,7,368,0,5,5,49.9,135
Rick Tabaracci,/players/t/tabarri01.html,G,2,286,0,8,8,35.5,93
John Tanner,/players/t/tannejo01.html,G,21,21,0,0,0,2.8,2
Jose Theodore,/players/t/theodjo01.html,G,91,648,1,16,17,111.0,286
Jocelyn Thibault,/players/t/thibajo01.html,G,57,586,0,6,6,90.7,238
Ron Tugnutt,/players/t/tugnuro01.html,G,153,537,0,7,7,78.9,186
