Alex Auld,/players/a/auldal01.html,G,21,237,0,7,7,35.8,91
Richard Bachman,/players/b/bachmri01.html,G,32,48,0,1,1,6.1,20
Garry Bauman,/players/b/baumaga01.html,G,33,35,0,0,0,2.5,5
Daniel Berthiaume,/players/b/berthda01.html,G,5,215,0,4,4,29.4,81
Allan Bester,/players/b/besteal01.html,G,10,219,0,8,8,37.6,73
Ben Bishop,/players/b/bishobe01.html,G,99,369,0,10,10,67.8,201
Landon Bow,/players/b/bowla01.html,G,2,2,0,0,0,0.2,0
Ken Broderick,/players/b/brodeke01.html,G,7,27,0,1,1,4.2,11
Jack Campbell,/players/c/campbja01.html,G,1,38,0,1,1,7.4,12
Matt Climie,/players/c/climima01.html,G,4,5,0,0,0,0.6,2
Jim Craig,/players/c/craigji01.html,G,3,30,0,1,1,4.2,11
Gary Edwards,/players/e/edwarga01.html,G,51,286,0,5,5,36.3,88
Dan Ellis,/players/e/ellisda01.html,G,15,212,0,6,6,30.1,87
Jhonas Enroth,/players/e/enrotjh01.html,G,13,153,0,0,0,24.0,50
Manny Fernandez,/players/f/fernama01.html,G,33,325,0,6,6,59.4,143
Gilles Gilbert,/players/g/gilbegi01.html,G,44,416,0,9,9,69.9,192
Paul Harrison,/players/h/harripa01.html,G,35,109,0,1,1,10.0,28
Brian Hayward,/players/h/haywabr01.html,G,26,357,0,13,13,49.1,143
Johan Hedberg,/players/h/hedbejo01.html,G,19,373,0,10,10,51.6,161
Corey Hirsch,/players/h/hirscco01.html,G,2,108,0,3,3,14.1,34
Johan Holmqvist,/players/h/holmqjo01.html,G,2,99,0,4,4,10.1,48
Arturs Irbe,/players/i/irbear01.html,G,35,568,0,9,9,83.6,218
Steve Janaszak,/players/j/janasst01.html,G,1,3,0,0,0,0.1,0
Anton Khudobin,/players/k/khudoan01.html,G,41,188,0,3,3,33.0,83
Brent Krahn,/players/k/krahnbr01.html,G,1,1,0,0,0,-0.2,0
Jean-Louis Levasseur,/players/l/levasje01.html,G,1,1,0,0,0,-0.1,0
Anders Lindback,/players/l/lindban01.html,G,10,130,0,4,4,16.6,45
Pete LoPresti,/players/l/loprepe01.html,G,173,175,0,3,3,16.5,43
Markus Mattsson,/players/m/mattsma01.html,G,2,92,0,1,1,10.8,21
Mike McKenna,/players/m/mckenmi01.html,G,2,35,0,1,1,3.5,7
Roland Melanson,/players/m/melanro01.html,G,26,291,0,11,11,50.7,129
Lindsay Middlebrook,/players/m/middlli01.html,G,3,37,0,0,0,2.1,3
Andy Moog,/players/m/moogan01.html,G,175,713,0,24,24,111.7,372
Jarmo Myllys,/players/m/myllyja01.html,G,12,39,0,1,1,3.6,4
Antti Niemi,/players/n/niemian02.html,G,85,464,0,12,12,73.8,242
Cristopher Nilstorp,/players/n/nihlsch01.html,G,6,6,0,0,0,0.6,1
Andrew Raycroft,/players/r/raycran01.html,G,29,280,0,3,3,38.6,113
Fern Rivard,/players/r/rivarfe01.html,G,55,55,0,0,0,3.9,9
Jussi Rynnas,/players/r/rynnaju01.html,G,2,5,0,0,0,-0.2,0
Mike Sands,/players/s/sandsmi01.html,G,6,6,0,0,0,0.8,0
Gary Smith,/players/s/smithga01.html,G,39,531,0,7,7,69.8,174
Mike Smith,/players/s/smithmi01.html,G,44,571,1,15,16,99.1,243
Tobias Stephan,/players/s/stephto01.html,G,11,11,0,1,1,0.8,1
Kari Takko,/players/t/takkoka01.html,G,131,142,0,2,2,20.6,37
Tim Thomas,/players/t/thomati01.html,G,8,426,0,7,7,92.8,214
Mike Torchia,/players/t/torchmi01.html,G,6,6,0,0,0,0.9,3
Ron Tugnutt,/players/t/tugnuro01.html,G,42,537,0,7,7,78.9,186
Roman Turek,/players/t/turekro01.html,G,55,328,0,12,12,48.0,159
Darcy Wakaluk,/players/w/wakalda01.html,G,153,191,0,6,6,24.1,67
Carl Wetzel,/players/w/wetzeca01.html,G,5,7,0,0,0,0.0,1
Jordan Willis,/players/w/willijo01.html,G,1,1,0,0,0,0.1,0
Gump Worsley,/players/w/worslgu01.html,G,107,860,0,3,3,131.2,333
Greg Adams,/players/a/adamsgr02.html,LW,177,1056,355,388,743,62.5,0
Chris Ahrens,/players/a/ahrench01.html,D,52,52,0,3,3,0.5,0
Keith Aldridge,/players/a/aldrike01.html,D,4,4,0,0,0,0.2,0
Mike Antonovich,/players/a/antonmi01.html,C,14,87,10,15,25,-0.2,0
Dave Archibald,/players/a/archida01.html,C/LW,162,323,57,67,124,4.6,0
Jim Archibald,/players/a/archiji01.html,RW,16,16,1,2,3,-0.2,0
Chuck Arnason,/players/a/arnasch01.html,RW,1,401,109,90,199,11.8,0
Brent Ashton,/players/a/ashtobr01.html,LW,97,998,284,345,629,39.7,0
Donald Audette,/players/a/audetdo01.html,RW,20,735,260,249,509,53.4,0
