Red Almas,/players/a/almasre01.html,G,2,3,0,0,0,0.0,0,0,0,0,0
Hank Bassen,/players/b/basseha01.html,G,99,157,0,2,2,21.6,47,0,2,2,34
Jonathan Bernier,/players/b/bernijo01.html,G,35,324,0,5,5,54.9,137,0,0,0,9
Allan Bester,/players/b/besteal01.html,G,4,219,0,8,8,37.6,73,0,0,0,0
Bill Beveridge,/players/b/beverbi01.html,G,39,295,0,0,0,35.1,87,0,0,0,14
Gilles Boisvert,/players/b/boisvgi01.html,G,3,3,0,0,0,0.5,0,0,0,0,0
Claude Bourque,/players/b/bourqcl01.html,G,1,62,0,0,0,6.0,18,0,0,0,0
Andy Brown,/players/b/brownan01.html,G,17,62,0,1,1,6.0,22,0,1,1,6
Alain Chevrier,/players/c/chevral01.html,G,3,234,0,11,11,26.0,91,0,0,0,0
Ty Conklin,/players/c/conklty01.html,G,55,215,0,3,3,31.0,96,0,1,1,30
Alec Connell,/players/c/conneal01.html,G,48,418,0,0,0,85.5,193,0,0,0,18
Jared Coreau,/players/c/coreaja01.html,G,21,21,0,0,0,1.1,5,0,0,0,5
Abbie Cox,/players/c/coxab01.html,G,2,5,0,0,0,0.6,1,0,0,0,0
Wilf Cude,/players/c/cudewi01.html,G,29,281,0,0,0,33.2,98,0,0,0,15
Joe Daley,/players/d/daleyjo01.html,G,29,105,0,1,1,12.9,34,0,0,0,11
Denis DeJordy,/players/d/dejorde01.html,G,25,317,0,2,2,43.9,120,0,0,0,8
Connie Dion,/players/d/dionco01.html,G,38,38,0,0,0,8.6,23,0,0,0,23
Dolly Dolson,/players/d/dolsodo01.html,G,93,93,0,0,0,15.0,35,0,0,0,35
Darren Eliot,/players/e/eliotda01.html,G,3,88,0,2,2,8.5,24,0,0,0,0
Bob Essensa,/players/e/essenbo01.html,G,13,446,0,15,15,68.7,173,0,2,2,4
Jimmy Franks,/players/f/frankji01.html,G,18,42,0,0,0,5.2,12,0,0,0,7
Kaden Fulcher,/players/f/fulchka01.html,G,1,1,0,0,0,0.0,0,0,0,0,0
Dave Gagnon,/players/g/gagnoda01.html,G,2,2,0,0,0,-0.1,0,0,0,0,0
