Richard Bachman,/players/b/bachmri01.html,G,9,48,0,1,1,6.1,20,0,0,0,3
Marco Baron,/players/b/baronma01.html,G,1,86,0,4,4,14.7,34,0,0,0,0
Fred Brathwaite,/players/b/brathfr01.html,G,40,254,0,3,3,35.1,81,0,0,0,5
Laurent Brossoit,/players/b/brossla01.html,G,28,49,0,1,1,7.4,20,0,1,1,7
Ilya Bryzgalov,/players/b/bryzgil01.html,G,20,465,0,12,12,81.3,221,0,0,0,5
Tyler Bunz,/players/b/bunzty01.html,G,1,1,0,0,0,-0.2,0,0,0,0,0
Ty Conklin,/players/c/conklty01.html,G,60,215,0,3,3,31.0,96,0,0,0,27
Jim Corsi,/players/c/corsiji01.html,G,26,26,0,3,3,3.3,8,0,3,3,8
Wayne Cowley,/players/c/cowlewa01.html,G,1,1,0,0,0,0.2,0,0,0,0,0
Don Cutts,/players/c/cuttsdo01.html,G,6,6,0,0,0,0.7,1,0,0,0,1
Yann Danis,/players/d/danisya01.html,G,4,55,0,0,0,8.2,17,0,0,0,1
Jeff Deslauriers,/players/d/drouije01.html,G,58,62,0,4,4,9.4,23,0,4,4,20
Dave Dryden,/players/d/drydeda01.html,G,14,203,0,4,4,26.7,69,0,0,0,2
Devan Dubnyk,/players/d/dubnyde01.html,G,171,490,0,8,8,88.0,235,0,1,1,61
Bob Dupuis,/players/d/dupuibo01.html,G,1,1,0,0,0,0.1,0,0,0,0,0
Gary Edwards,/players/e/edwarga01.html,G,15,286,0,5,5,36.3,88,0,2,2,5
Bob Essensa,/players/e/essenbo01.html,G,74,446,0,15,15,68.7,173,0,1,1,22
Randy Exelby,/players/e/exelbra01.html,G,1,2,0,0,0,0.1,0,0,0,0,0
Viktor Fasth,/players/f/fasthvi01.html,G,33,63,0,0,0,8.4,26,0,0,0,9
Norm Foster,/players/f/fosteno01.html,G,10,13,0,0,0,1.1,7,0,0,0,5
Joaquin Gage,/players/g/gagejo02.html,G,23,23,0,1,1,1.4,4,0,1,1,4
Mathieu Garon,/players/g/garonma01.html,G,62,341,0,7,7,49.0,144,0,0,0,32
Martin Gerber,/players/g/gerbema01.html,G,3,229,0,7,7,41.7,113,0,1,1,3
Mike Greenlay,/players/g/greenmi01.html,G,2,2,0,1,0,-0.1,0,0,1,0,0
Jonas Gustavsson,/players/g/gustajo01.html,G,7,179,0,4,4,21.7,72,0,0,0,1
Peter Ing,/players/i/ingpe01.html,G,12,74,0,3,3,10.4,20,0,3,3,3
Curtis Joseph,/players/j/josepcu01.html,G,177,943,0,31,31,167.2,454,0,5,5,76
Nikolai Khabibulin,/players/k/khabini01.html,G,117,799,0,18,18,132.4,333,0,0,0,33
Mikko Koskinen,/players/k/koskimi01.html,G,55,59,0,2,2,8.1,27,0,2,2,25
Jason LaBarbera,/players/l/labarja01.html,G,7,187,0,2,2,28.7,62,0,0,0,1
Pete LoPresti,/players/l/loprepe01.html,G,2,175,0,3,3,16.5,43,0,0,0,0
Ron Low,/players/l/lowro01.html,G,67,382,0,4,4,33.4,102,0,3,3,30
Jussi Markkanen,/players/m/markkju01.html,G,102,128,0,2,2,16.5,43,0,2,2,35
Lindsay Middlebrook,/players/m/middlli01.html,G,1,37,0,0,0,2.1,3,0,0,0,1
Mike Minard,/players/m/minarmi01.html,G,1,1,0,0,0,0.3,1,0,0,0,1
Eddie Mio,/players/m/mioed01.html,G,77,192,0,11,11,25.3,64,0,6,6,25
Al Montoya,/players/m/montoal01.html,G,9,168,0,5,5,23.7,67,0,1,1,2
Mike Morrison,/players/m/morrimi01.html,G,21,29,0,1,1,1.4,11,0,0,0,10
Anders Nilsson,/players/n/nilssan01.html,G,26,141,0,3,3,21.8,50,0,1,1,10
Steve Passmore,/players/p/passmst01.html,G,6,93,0,2,2,10.9,23,0,1,1,1
Daryl Reaugh,/players/r/reaugda01.html,G,7,27,0,0,0,3.5,8,0,0,0,1
Pokey Reddick,/players/r/reddipo01.html,G,13,132,0,1,1,16.9,46,0,0,0,5
Dwayne Roloson,/players/r/rolosdw01.html,G,193,606,0,14,14,102.0,227,0,6,6,78
Dominic Roussel,/players/r/roussdo01.html,G,8,205,0,4,4,28.8,77,0,0,0,1
Ben Scrivens,/players/s/scrivbe01.html,G,78,144,0,2,2,20.5,47,0,1,1,24
Mikhail Shtalenkov,/players/s/shtalmi01.html,G,34,190,0,6,6,24.4,62,0,0,0,12
Warren Skorodenski,/players/s/skorowa01.html,G,3,35,0,0,0,6.7,12,0,0,0,0
Anthony Stolarz,/players/s/stolaan01.html,G,6,25,0,0,0,3.7,6,0,0,0,0
Kari Takko,/players/t/takkoka01.html,G,11,142,0,2,2,20.6,37,0,1,1,4
Ron Tugnutt,/players/t/tugnuro01.html,G,29,537,0,7,7,78.9,186,0,0,0,10
Steve Valiquette,/players/v/valiqst01.html,G,1,46,0,1,1,6.1,16,0,0,0,0
Mike Zanier,/players/z/zaniemi01.html,G,3,3,0,0,0,0.6,1,0,0,0,1
Pontus Aberg,/players/a/abergpo01.html,LW,16,127,17,26,43,3.2,0,2,6,8,0
Keith Acton,/players/a/actonke01.html,C,72,1023,226,358,584,29.9,0,14,21,35,0
Will Acton,/players/a/actonwi01.html,C,33,33,3,2,5,0.3,0,3,2,5,0
Greg Adams,/players/a/adamsgr01.html,LW,49,544,84,143,227,8.8,0,4,5,9,0
Brad Aitken,/players/a/aitkebr01.html,LW,3,14,1,3,4,-0.1,0,0,1,1,0
Micah Aivazoff,/players/a/aivazmi01.html,C,21,92,4,6,10,-1.8,0,0,1,1,0
Bobby Allen,/players/a/allenbo01.html,D,1,51,0,3,3,0.7,0,0,0,0,0
Mark Arcobello,/players/a/arcobma01.html,RW,78,139,24,29,53,4.8,0,11,19,30,0
Ron Areshenkoff,/players/a/areshro01.html,C,4,4,0,0,0,-0.2,0,0,0,0,0
Dean Arsene,/players/a/arsende01.html,D,13,13,0,0,0,-0.1,0,0,0,0,0
Don Ashby,/players/a/ashbydo01.html,C,24,188,40,56,96,4.7,0,12,12,24,0
Keith Aulie,/players/a/aulieke01.html,D,31,167,4,10,14,2.6,0,0,1,1,0
Yohann Auvitu,/players/a/auvityo01.html,D,33,58,5,8,13,3.1,0,3,6,9,0
Bryon Baltimore,/players/b/baltibr01.html,D,2,2,0,0,0,0.3,0,0,0,0,0
Drew Bannister,/players/b/bannidr01.html,D,35,164,5,25,30,5.4,0,0,3,3,0
Cam Barker,/players/b/barkeca01.html,D,25,310,21,75,96,15.1,0,2,0,2,0
