Craig Anderson,/players/a/andercr01.html,G,53,614,0,17,17,116.0,278
Alex Auld,/players/a/auldal01.html,G,27,237,0,7,7,35.8,91
Ed Belfour,/players/b/belfoed01.html,G,58,963,0,34,34,157.3,484
Reto Berra,/players/b/berrare01.html,G,7,76,0,1,1,8.9,20
Sean Burke,/players/b/burkese01.html,G,66,820,0,28,28,141.9,324
Scott Clemmensen,/players/c/clemmsc01.html,G,120,191,0,3,3,26.4,73
Dan Ellis,/players/e/ellisda01.html,G,14,212,0,6,6,30.1,87
Mark Fitzpatrick,/players/f/fitzpma01.html,G,119,329,0,12,12,52.5,113
Wade Flaherty,/players/f/flahewa01.html,G,4,120,0,3,3,13.2,27
Brian Foster,/players/f/fostebr01.html,G,1,1,0,0,0,0.0,0
Jani Hurme,/players/h/hurmeja01.html,G,28,76,0,0,0,11.2,29
Michael Hutchinson,/players/h/hutchmi01.html,G,4,111,0,1,1,15.0,46
Trevor Kidd,/players/k/kiddtr01.html,G,103,387,0,13,13,56.2,140
Jacob Markstrom,/players/m/marksja02.html,G,43,229,0,8,8,35.8,87
Kirk McLean,/players/m/mcleaki01.html,G,37,612,0,23,23,84.0,245
Jamie McLennan,/players/m/mclenja01.html,G,17,254,0,3,3,31.5,80
Sam Montembeault,/players/m/montesa01.html,G,11,11,0,1,1,1.1,4
Al Montoya,/players/m/montoal01.html,G,45,168,0,5,5,23.7,67
Antti Niemi,/players/n/niemian02.html,G,2,464,0,12,12,73.8,242
Pokey Reddick,/players/r/reddipo01.html,G,2,132,0,1,1,16.9,46
James Reimer,/players/r/reimeja01.html,G,123,338,0,3,3,58.7,144
Alexander Salak,/players/s/salakal01.html,G,2,2,0,0,0,0.0,0
Harri Sateri,/players/s/saterha01.html,G,9,9,0,0,0,1.5,4
Steve Shields,/players/s/shielst01.html,G,16,246,0,2,2,39.4,80
Mikhail Shtalenkov,/players/s/shtalmi01.html,G,15,190,0,6,6,24.4,62
Richard Shulmistra,/players/s/shulmri01.html,G,1,2,0,0,0,0.5,1
Jose Theodore,/players/t/theodjo01.html,G,68,648,1,16,17,111.0,286
Tim Thomas,/players/t/thomati01.html,G,40,426,0,7,7,92.8,214
Mike Vernon,/players/v/vernomi01.html,G,34,782,0,39,39,107.1,385
Kevin Weekes,/players/w/weekeke01.html,G,11,348,0,3,3,52.6,105
Greg Adams,/players/a/adamsgr02.html,LW,60,1056,355,388,743,62.5,0
Kevyn Adams,/players/a/adamske01.html,C,56,540,59,77,136,7.6,0
Chris Allen,/players/a/allench01.html,D,2,2,0,0,0,0.1,0
Jamie Allison,/players/a/allisja01.html,D,7,372,7,23,30,6.3,0
Peter Andersson,/players/a/anderpe03.html,D,8,47,6,13,19,3.0,0
Donald Audette,/players/a/audetdo01.html,RW,28,735,260,249,509,53.4,0
Chase Balisy,/players/b/balisch01.html,C,8,8,0,0,0,-0.2,0
Keith Ballard,/players/b/ballake01.html,D,164,604,38,137,175,33.0,0
Krys Barch,/players/b/barchkr01.html,RW,96,381,12,23,35,0.2,0
Stu Barnes,/players/b/barnest01.html,C,191,1136,261,336,597,53.7,0
Doug Barrault,/players/b/barrado01.html,RW,2,4,0,0,0,-0.2,0
Len Barrie,/players/b/barrile01.html,C,76,184,19,45,64,3.8,0
Eric Beaudoin,/players/b/beauder01.html,LW,53,53,3,8,11,0.0,0
Jaroslav Bednar,/players/b/bednaja01.html,RW,65,102,10,25,35,2.8,0
Wade Belak,/players/b/belakwa01.html,RW,32,549,8,25,33,4.0,0
Jesse Belanger,/players/b/belanje01.html,C,180,246,59,76,135,10.8,0
Brian Benning,/players/b/bennibr01.html,D,97,568,63,233,296,41.8,0
Sean Bergenheim,/players/b/bergese01.html,LW,163,506,96,84,180,16.6,0
Niclas Bergfors,/players/b/bergfni01.html,RW,20,173,35,48,83,7.7,0
Christian Berglund,/players/b/berglch01.html,LW,10,86,11,16,27,2.4,0
Steve Bernier,/players/b/bernist01.html,RW,68,637,105,125,230,21.6,0
