Jean-Sebastien Aubin,/players/a/aubinje01.html,G,19,218,0,3,3,29.3,80
Ryan Bach,/players/b/bachry01.html,G,3,3,0,0,0,0.2,0
Marco Baron,/players/b/baronma01.html,G,21,86,0,4,4,14.7,34
Jean-Claude Bergeron,/players/b/bergeje01.html,G,1,72,0,2,2,5.4,21
Jonathan Bernier,/players/b/bernijo01.html,G,62,324,0,5,5,54.9,137
Daniel Berthiaume,/players/b/berthda01.html,G,56,215,0,4,4,29.4,81
Ben Bishop,/players/b/bishobe01.html,G,7,369,0,10,10,67.8,201
Mike Blake,/players/b/blakemi02.html,G,40,40,0,1,1,5.6,13
Barry Brust,/players/b/brustba01.html,G,11,11,0,0,0,0.7,2
Peter Budaj,/players/b/budajpe01.html,G,57,368,0,11,11,50.6,158
Sean Burke,/players/b/burkese01.html,G,23,820,0,28,28,141.9,324
Jack Campbell,/players/c/campbja01.html,G,37,38,0,1,1,7.4,12
Jacques Caron,/players/c/caronja01.html,G,4,72,0,1,1,9.4,24
Roman Cechmanek,/players/c/cechmro01.html,G,49,212,0,1,1,38.1,110
Frederic Chabot,/players/c/chabofr01.html,G,12,32,0,0,0,2.8,4
Mathieu Chouinard,/players/c/chouima02.html,G,1,1,0,0,0,0.0,0
Dan Cloutier,/players/c/cloutda01.html,G,33,351,0,5,5,44.5,139
Marcel Cousineau,/players/c/cousima01.html,G,5,26,0,1,1,2.6,4
Byron Dafoe,/players/d/dafoeby01.html,G,87,415,0,8,8,62.1,171
Denis DeJordy,/players/d/dejorde01.html,G,86,317,0,2,2,43.9,120
Gerry Desjardins,/players/d/desjage01.html,G,104,332,0,2,2,47.5,123
Gary Edwards,/players/e/edwarga01.html,G,155,286,0,5,5,36.3,88
Darren Eliot,/players/e/eliotda01.html,G,83,88,0,2,2,8.5,24
Jhonas Enroth,/players/e/enrotjh01.html,G,16,153,0,0,0,24.0,50
Erik Ersberg,/players/e/ersbeer01.html,G,53,53,0,0,0,8.3,18
Mark Fitzpatrick,/players/f/fitzpma01.html,G,17,329,0,12,12,52.5,113
Grant Fuhr,/players/f/fuhrgr01.html,G,14,868,0,47,47,128.6,403
Yutaka Fukufuji,/players/f/fukufyu01.html,G,4,4,0,0,0,-0.1,0
Mathieu Garon,/players/g/garonma01.html,G,95,341,0,7,7,49.0,144
Mario Gosselin,/players/g/gossema01.html,G,26,241,0,9,9,29.2,91
David Goverde,/players/g/goverda01.html,G,5,5,0,1,1,-0.2,1
Ron Grahame,/players/g/graharo02.html,G,66,114,0,3,3,14.7,50
Adam Hauser,/players/h/hausead01.html,G,1,1,0,0,0,-0.2,0
Glenn Healy,/players/h/healygl01.html,G,83,437,0,15,15,62.6,166
Milan Hnilicka,/players/h/hnilimi01.html,G,2,121,0,2,2,19.5,29
Cristobal Huet,/players/h/huetcr01.html,G,53,272,0,3,3,48.2,129
Pauli Jaks,/players/j/jakspa01.html,G,1,1,0,0,0,0.2,0
Bob Janecyk,/players/j/janecbo01.html,G,103,111,0,4,4,15.7,44
Al Jensen,/players/j/jenseal01.html,G,5,179,0,3,3,26.9,95
Martin Jones,/players/j/jonesma02.html,G,34,286,0,3,3,43.4,154
Doug Keans,/players/k/keansdo01.html,G,56,210,0,6,6,27.8,96
Rick Knickle,/players/k/knickri01.html,G,14,14,0,0,0,1.7,7
Darcy Kuemper,/players/k/kuempda01.html,G,19,186,0,4,4,31.5,80
Jason LaBarbera,/players/l/labarja01.html,G,93,187,0,2,2,28.7,62
Gary Laskoski,/players/l/laskoga01.html,G,59,59,0,1,1,4.8,19
Manny Legace,/players/l/legacma01.html,G,17,365,0,9,9,60.2,187
Markus Mattsson,/players/m/mattsma01.html,G,38,92,0,1,1,10.8,21
Roland Melanson,/players/m/melanro01.html,G,119,291,0,11,11,50.7,129
Jack Norris,/players/n/norrija01.html,G,25,58,0,0,0,3.8,20
Paul Pageau,/players/p/pageapa01.html,G,1,1,0,0,0,-0.2,0
Steve Passmore,/players/p/passmst01.html,G,14,93,0,2,2,10.9,23
Calvin Petersen,/players/p/peterca01.html,G,11,11,0,0,0,2.5,5
Felix Potvin,/players/p/potvife01.html,G,136,635,0,16,16,106.3,266
Jim Rutherford,/players/r/rutheji01.html,G,10,457,0,9,9,58.8,151
Wayne Rutledge,/players/r/rutlewa01.html,G,82,82,0,0,0,8.0,28
Terry Sawchuk,/players/s/sawchte01.html,G,36,971,0,7,7,179.0,445
Ron Scott,/players/s/scottro01.html,G,12,28,0,0,0,3.4,8
Travis Scott,/players/s/scotttr01.html,G,1,1,0,0,0,-0.2,0
Ben Scrivens,/players/s/scrivbe01.html,G,19,144,0,2,2,20.5,47
Gary Simmons,/players/s/simmoga01.html,G,18,107,0,1,1,14.9,30
Billy Smith,/players/s/smithbi01.html,G,5,679,1,12,13,124.1,305
Robb Stauber,/players/s/staubro01.html,G,56,62,0,2,2,10.1,21
Daniel Taylor,/players/t/tayloda02.html,G,1,4,0,0,0,0.4,1
Steve Weeks,/players/w/weeksst01.html,G,7,291,0,7,7,40.3,112
Jeff Zatkoff,/players/z/zatkoje01.html,G,13,48,0,1,1,6.5,18
Dennis Abgrall,/players/a/abgrade01.html,RW,13,13,0,2,2,-0.4,0
Peter Ahola,/players/a/aholape01.html,D,79,123,10,17,27,6.0,0
Jason Allison,/players/a/allisja02.html,C,99,552,154,331,485,49.5,0
Mike Allison,/players/a/allismi01.html,LW,147,499,102,166,268,13.5,0
Dave Amadio,/players/a/amadida01.html,D,124,126,5,11,16,4.5,0
Michael Amadio,/players/a/amadimi01.html,C,80,80,10,11,21,1.9,0
Jim Anderson,/players/a/anderji01.html,LW,7,7,1,2,3,0.1,0
Ron Anderson,/players/a/anderro01.html,RW,56,251,28,30,58,0.0,0
Russ Anderson,/players/a/anderru01.html,D,84,519,22,99,121,24.7,0
Jaret Anderson-Dolan,/players/a/anderja01.html,C,5,5,0,1,1,-0.1,0
Andy Andreoff,/players/a/andrean01.html,LW,159,159,13,11,24,1.5,0
Donald Audette,/players/a/audetdo01.html,RW,98,735,260,249,509,53.4,0
Justin Auger,/players/a/augerju01.html,RW,2,2,0,0,0,-0.1,0
Jared Aulin,/players/a/aulinja01.html,C/RW,17,17,2,2,4,0.3,0
Dave Babych,/players/b/babycda01.html,D,8,1195,142,581,723,86.6,0
Ralph Backstrom,/players/b/backsra01.html,C,172,1032,278,361,639,54.8,0
Blair Barnes,/players/b/barnebl01.html,RW,1,1,0,0,0,0.0,0
Scott Barney,/players/b/barnesc01.html,C,24,27,5,6,11,1.3,0
Fred Barrett,/players/b/barrefr01.html,D,15,745,25,123,148,35.4,0
Doug Barrie,/players/b/barrido01.html,D,48,158,10,42,52,8.5,0
Len Barrie,/players/b/barrile01.html,C,46,184,19,45,64,3.8,0
Ruslan Batyrshin,/players/b/batyrru01.html,D,2,2,0,0,0,0.1,0
Ken Baumgartner,/players/b/baumgke01.html,LW,91,696,13,41,54,-6.6,0
Barry Beck,/players/b/beckba01.html,D,52,615,104,251,355,54.1,0
Jaroslav Bednar,/players/b/bednaja01.html,RW,37,102,10,25,35,2.8,0
Derek Bekar,/players/b/bekarde01.html,LW,6,11,0,0,0,-0.2,0
Ken Belanger,/players/b/belanke01.html,LW,52,248,11,12,23,-0.2,0
Brian Benning,/players/b/bennibr01.html,D,162,568,63,233,296,41.8,0
Serge Bernier,/players/b/bernise01.html,RW,101,302,78,119,197,14.0,0
Nick Beverley,/players/b/beverni01.html,D,7,502,18,94,112,25.7,0
Scott Bjugstad,/players/b/bjugssc01.html,RW,64,317,76,68,144,6.2,0
Jason Blake,/players/b/blakeja01.html,LW,82,871,213,273,486,46.9,0
Rick Blight,/players/b/blighri01.html,RW,2,326,96,125,221,15.4,0
Arto Blomsten,/players/b/blomsar01.html,D,6,25,0,4,4,0.8,0
Doug Bodger,/players/b/bodgedo01.html,D,65,1071,106,422,528,79.4,0
Dan Bonar,/players/b/bonarda01.html,C,170,170,25,39,64,0.9,0
Bob Bourne,/players/b/bournbo01.html,C,150,964,258,324,582,37.0,0
Brian Boyle,/players/b/boylebr01.html,C,36,766,124,92,216,19.2,0
Steve Bozek,/players/b/bozekst01.html,LW,124,641,164,167,331,17.8,0
Francis Breault,/players/b/breaufr01.html,RW,27,27,2,4,6,-0.2,0
Dan Brennan,/players/b/brennda01.html,LW,8,8,0,1,1,-0.2,0
Kip Brennan,/players/b/brennki01.html,LW,41,61,1,1,2,-0.2,0
Rich Brennan,/players/b/brennri01.html,D,2,50,2,6,8,1.4,0
Daniel Brickley,/players/b/brickda01.html,D,5,5,0,2,2,0.2,0
Jonny Brodzinski,/players/b/brodzjo01.html,C,54,54,6,5,11,1.2,0
Neal Broten,/players/b/brotene01.html,C,19,1099,289,634,923,63.3,0
Jim Brown,/players/b/brownji01.html,D,3,3,0,1,1,0.0,0
Kevin Brown,/players/b/brownke03.html,RW,30,64,7,9,16,0.1,0
Rob Brown,/players/b/brownro01.html,RW,2,543,190,248,438,35.5,0
