Zac Bierk,/players/b/bierkza01.html,G,1,47,0,1,1,6.2,9,0,0,0,0
Ilya Bryzgalov,/players/b/bryzgil01.html,G,12,465,0,12,12,81.3,221,0,0,0,7
John Curry,/players/c/curryjo01.html,G,4,8,0,0,0,0.4,3,0,0,0,1
Wade Dubielewicz,/players/d/dubiewa01.html,G,3,43,0,0,0,7.8,18,0,0,0,1
Derek Gustafson,/players/g/gustade01.html,G,5,5,0,0,0,0.6,1,0,0,0,1
Matt Hackett,/players/h/hackema01.html,G,13,26,0,0,0,3.6,4,0,0,0,3
Josh Harding,/players/h/hardijo01.html,G,151,151,0,2,2,27.3,60,0,2,2,60
Anton Khudobin,/players/k/khudoan01.html,G,6,188,0,3,3,33.0,83,0,0,0,4
Dieter Kochan,/players/k/kochadi01.html,G,1,21,0,0,0,0.5,1,0,0,0,0
Darcy Kuemper,/players/k/kuempda01.html,G,102,186,0,4,4,31.5,80,0,1,1,41
Jamie McLennan,/players/m/mclenja01.html,G,38,254,0,3,3,31.5,80,0,1,1,5
Dwayne Roloson,/players/r/rolosdw01.html,G,167,606,0,14,14,102.0,227,0,2,2,62
Alex Stalock,/players/s/staloal01.html,G,51,113,0,3,3,15.0,41,0,2,2,17
Jose Theodore,/players/t/theodjo01.html,G,32,648,1,16,17,111.0,286,0,0,0,15
Pontus Aberg,/players/a/abergpo01.html,LW,22,127,17,26,43,3.2,0,1,5,6,0
Cody Almond,/players/a/almonco01.html,C,25,25,2,0,2,-0.2,0,2,0,2,0
Chris Armstrong,/players/a/armstch01.html,D,3,7,0,1,1,0.0,0,0,0,0,0
Drew Bagnall,/players/b/bagnadr01.html,D,2,2,0,0,0,-0.1,0,0,0,0,0
Keith Ballard,/players/b/ballake01.html,D,59,604,38,137,175,33.0,0,2,8,10,0
Cam Barker,/players/b/barkeca01.html,D,71,310,21,75,96,15.1,0,2,10,12,0
Matt Bartkowski,/players/b/bartkma01.html,D,2,255,8,40,48,9.2,0,1,0,1,0
Peter Bartos,/players/b/bartope01.html,LW,13,13,4,2,6,0.9,0,4,2,6,0
Shawn Belle,/players/b/bellesh01.html,D,9,20,0,1,1,0.5,0,0,1,1,0
Louie Belpedio,/players/b/belpelo01.html,D,3,3,0,2,2,0.3,0,0,2,2,0
Ladislav Benysek,/players/b/benysla01.html,D,159,161,3,12,15,4.0,0,3,12,15,0
Sean Bergenheim,/players/b/bergese01.html,LW,17,506,96,84,180,16.6,0,1,0,1,0
Marc-Andre Bergeron,/players/b/bergema02.html,D,72,490,82,153,235,42.6,0,14,18,32,0
Christoph Bertschy,/players/b/bertsch02.html,C,9,9,0,1,1,0.0,0,0,1,1,0
Stu Bickel,/players/b/bickest01.html,D,9,76,0,10,10,1.9,0,0,1,1,0
Anthony Bitetto,/players/b/bitetan01.html,D,18,132,2,17,19,3.0,0,0,0,0,0
Sylvain Blouin,/players/b/blouisy01.html,LW,86,115,3,4,7,-1.0,0,3,4,7,0
Jonathon Blum,/players/b/blumjo02.html,D,19,110,7,17,24,4.3,0,0,2,2,0
Brian Bonin,/players/b/boninbr01.html,C,7,12,0,0,0,-0.4,0,0,0,0,0
Sebastien Bordeleau,/players/b/bordese01.html,C,14,251,37,61,98,6.4,0,1,4,5,0
Christoph Brandner,/players/b/brandch01.html,LW,35,35,4,5,9,0.7,0,4,5,9,0
Brad Brown,/players/b/brownbr01.html,D,138,330,2,27,29,6.0,0,0,6,6,0
J.T. Brown,/players/b/brownjt01.html,RW,56,365,23,49,72,3.3,0,3,5,8,0
Brett Bulmer,/players/b/bulmebr01.html,RW,17,17,0,3,3,0.0,0,0,3,3,0
Patrick Cannone,/players/c/cannopa01.html,C,3,3,0,0,0,0.0,0,0,0,0,0
Keith Carney,/players/c/carneke01.html,D,141,1018,45,183,228,66.8,0,5,23,28,0
