Ken Appleby,/players/a/appleke01.html,G,3,3,0,0,0,0.5,0,0,0,0,0
Hardy Astrom,/players/a/astroha01.html,G,79,83,0,1,1,11.0,17,0,1,1,15
Craig Billington,/players/b/billicr01.html,G,111,332,0,6,6,33.4,110,0,3,3,43
MacKenzie Blackwood,/players/b/blackma01.html,G,23,23,0,0,0,4.3,10,0,0,0,10
Sean Burke,/players/b/burkese01.html,G,162,820,0,28,28,141.9,324,0,5,5,62
Alain Chevrier,/players/c/chevral01.html,G,140,234,0,11,11,26.0,91,0,4,4,53
Scott Clemmensen,/players/c/clemmsc01.html,G,68,191,0,3,3,26.4,73,0,0,0,32
Jean-Francois Damphousse,/players/d/damphje01.html,G,6,6,0,0,0,0.5,1,0,0,0,1
Yann Danis,/players/d/danisya01.html,G,14,55,0,0,0,8.2,17,0,0,0,3
Mike Dunham,/players/d/dunhami01.html,G,41,394,0,5,5,65.4,141,0,1,1,13
Chad Erickson,/players/e/erickch01.html,G,2,2,0,0,0,0.1,1,0,0,0,1
Doug Favell,/players/f/faveldo01.html,G,84,373,0,8,8,55.9,124,0,3,3,21
Jeff Frazee,/players/f/frazeje01.html,G,1,1,0,0,0,0.1,0,0,0,0,0
Karl Friesen,/players/f/frieska01.html,G,4,4,0,1,1,-0.1,0,0,1,1,0
Johan Hedberg,/players/h/hedbejo01.html,G,80,373,0,10,10,51.6,161,0,2,2,38
Denis Herron,/players/h/herrode01.html,G,86,462,0,8,8,69.6,146,0,0,0,15
Steve Janaszak,/players/j/janasst01.html,G,2,3,0,0,0,0.1,0,0,0,0,0
Jari Kaarela,/players/k/kaareja01.html,G,5,5,0,0,0,0.0,2,0,0,0,2
Hannu Kamppuri,/players/k/kamppha01.html,G,13,13,0,1,1,1.1,1,0,1,1,1
Keith Kinkaid,/players/k/kinkake01.html,G,151,151,0,3,3,21.7,64,0,3,3,64
Eddie Lack,/players/l/lacked01.html,G,4,144,0,2,2,20.5,56,0,0,0,1
Rick LaFerriere,/players/l/laferri01.html,G,1,1,0,0,0,0.1,0,0,0,0,0
Ron Low,/players/l/lowro01.html,G,81,382,0,4,4,33.4,102,0,0,0,16
Shawn MacKenzie,/players/m/mackesh01.html,G,6,6,0,0,0,-0.1,0,0,0,0,0
Peter McDuffe,/players/m/mcdufpe01.html,G,36,57,0,1,1,5.3,11,0,1,1,7
Mike McKenna,/players/m/mckenmi01.html,G,2,35,0,1,1,3.5,7,0,0,0,0
Bill McKenzie,/players/m/mckenbi01.html,G,65,91,0,1,1,8.0,18,0,1,1,13
Kirk McLean,/players/m/mcleaki01.html,G,6,612,0,23,23,84.0,245,0,0,0,2
Roland Melanson,/players/m/melanro01.html,G,1,291,0,11,11,50.7,129,0,0,0,0
Lindsay Middlebrook,/players/m/middlli01.html,G,9,37,0,0,0,2.1,3,0,0,0,0
Phil Myre,/players/m/myreph01.html,G,34,439,0,8,8,63.3,149,0,2,2,5
Bill Oleschuk,/players/o/olescbi01.html,G,55,55,0,0,0,5.7,7,0,0,0,7
Michel Plasse,/players/p/plassmi01.html,G,149,298,0,7,7,36.8,92,0,3,3,28
