Mark Dekanich,/players/d/dekanma01.html,G,1,1,0,0,0,0.1,0,0,0,0,0
Devan Dubnyk,/players/d/dubnyde01.html,G,2,490,0,8,8,88.0,235,0,0,0,0
Dan Ellis,/players/e/ellisda01.html,G,110,212,0,6,6,30.1,87,0,1,1,49
Eric Fichaud,/players/f/fichaer01.html,G,9,95,0,1,1,12.2,22,0,0,0,0
Brian Finley,/players/f/finlebr01.html,G,2,4,0,0,0,0.0,0,0,0,0,0
Wade Flaherty,/players/f/flahewa01.html,G,1,120,0,3,3,13.2,27,0,1,1,0
Magnus Hellberg,/players/h/hellbma01.html,G,1,4,0,0,0,0.0,1,0,0,0,0
Carter Hutton,/players/h/huttoca01.html,G,75,188,0,4,4,28.9,81,0,2,2,33
Jan Lasak,/players/l/lasakja01.html,G,6,6,0,0,0,0.3,0,0,0,0,0
Michael Leighton,/players/l/leighmi01.html,G,1,110,0,4,4,14.5,37,0,0,0,0
Anders Lindback,/players/l/lindban01.html,G,38,130,0,4,4,16.6,45,0,1,1,16
Chris Mason,/players/m/masonch02.html,G,146,317,1,3,4,50.4,137,1,2,3,59
Marek Mazanec,/players/m/mazanma01.html,G,31,31,0,1,1,3.0,8,0,1,1,8
Juuse Saros,/players/s/sarosju01.html,G,79,79,0,4,4,15.3,38,0,4,4,38
Pontus Aberg,/players/a/abergpo01.html,LW,52,127,17,26,43,3.2,0,3,7,10,0
Ramzi Abid,/players/a/abidra01.html,LW,13,68,14,16,30,2.8,0,1,4,5,0
Jamie Allison,/players/a/allisja01.html,D,67,372,7,23,30,6.3,0,0,4,4,0
Jonas Andersson,/players/a/anderjo02.html,RW,5,9,0,0,0,-0.2,0,0,0,0,0
Niklas Andersson,/players/a/anderni01.html,LW,7,164,29,53,82,6.4,0,0,1,1,0
Mark Arcobello,/players/a/arcobma01.html,RW,4,139,24,29,53,4.8,0,1,0,1,0
Blair Atcheynum,/players/a/atchebl01.html,RW,53,196,27,33,60,3.4,0,8,6,14,0
Daniel Bang,/players/b/bangda01.html,W,8,8,0,2,2,0.0,0,0,2,2,0
Victor Bartley,/players/b/bartlvi01.html,D,112,121,1,22,23,4.9,0,1,22,23,0
Cody Bass,/players/b/bassco01.html,C,26,75,2,3,5,-0.3,0,0,0,0,0
Taylor Beck,/players/b/beckta01.html,RW,85,92,11,12,23,1.5,0,11,12,23,0
Kris Beech,/players/b/beechkr01.html,C,5,198,25,42,67,4.1,0,1,2,3,0
Steve Begin,/players/b/beginst01.html,C,2,524,56,52,108,6.6,0,0,0,0,0
Wade Belak,/players/b/belakwa01.html,RW,92,549,8,25,33,4.0,0,0,4,4,0
Bubba Berenzweig,/players/b/berenbu01.html,D,37,37,3,7,10,1.8,0,3,7,10,0
Niclas Bergfors,/players/b/bergfni01.html,RW,11,173,35,48,83,7.7,0,1,1,2,0
Anthony Bitetto,/players/b/bitetan01.html,D,114,132,2,17,19,3.0,0,2,17,19,0
Colin Blackwell,/players/b/blackco01.html,C,6,6,0,0,0,-0.1,0,0,0,0,0
Jonathon Blum,/players/b/blumjo02.html,D,91,110,7,17,24,4.3,0,7,15,22,0
Brandon Bochenski,/players/b/bochebr01.html,RW,8,156,28,40,68,6.7,0,1,2,3,0
Alexandre Boikov,/players/b/boikoal01.html,D,10,10,0,0,0,0.0,0,0,0,0,0
Brad Bombardir,/players/b/bombabr01.html,D,13,356,8,46,54,16.1,0,0,0,0,0
Nick Bonino,/players/b/boninni01.html,C,152,559,104,143,247,24.6,0,29,31,60,0
Radek Bonk,/players/b/bonkra01.html,C,145,969,194,303,497,45.0,0,23,31,54,0
Sebastien Bordeleau,/players/b/bordese01.html,C,146,251,37,61,98,6.4,0,28,40,68,0
Joel Bouchard,/players/b/bouchjo01.html,D,116,364,22,53,75,15.1,0,5,15,20,0
Reid Boucher,/players/b/bouchre01.html,C,3,133,20,22,42,3.3,0,1,0,1,0
Bob Boughner,/players/b/boughbo01.html,D,141,630,15,57,72,22.7,0,5,14,19,0
Francis Bouillon,/players/b/bouilfr01.html,D,195,776,32,117,149,32.6,0,8,24,32,0
Zach Boychuk,/players/b/boychza01.html,C,5,127,12,18,30,2.3,0,1,1,2,0
Dustin Boyd,/players/b/boyddu01.html,C,18,220,32,31,63,4.9,0,3,2,5,0
Brian Boyle,/players/b/boylebr01.html,C,26,766,124,92,216,19.2,0,5,0,5,0
Rich Brennan,/players/b/brennri01.html,D,4,50,2,6,8,1.4,0,0,0,0,0
Sheldon Brookbank,/players/b/brooksh01.html,D,3,351,7,37,44,11.5,0,0,1,1,0
Wade Brookbank,/players/b/brookwa01.html,D,9,127,6,3,9,1.7,0,0,0,0,0
Andrew Brunette,/players/b/brunean01.html,LW,77,1110,268,465,733,73.4,0,11,20,31,0
Bobby Butler,/players/b/butlebo01.html,RW,20,130,20,29,49,4.3,0,3,6,9,0
Matt Carle,/players/c/carlema01.html,D,6,730,45,238,283,54.2,0,0,1,1,0
Alexandre Carrier,/players/c/carrial01.html,D,2,2,0,0,0,0.1,0,0,0,0,0
Marian Cisar,/players/c/cisarma01.html,RW,73,73,13,17,30,2.6,0,13,17,30,0
Greg Classen,/players/c/classgr01.html,C,90,90,7,10,17,1.0,0,7,10,17,0
Rich Clune,/players/c/cluneri01.html,LW,106,139,7,15,22,1.1,0,7,9,16,0
Patrick Cote,/players/c/cotepa01.html,LW,91,105,1,2,3,-1.2,0,1,2,3,0
Phil Crowe,/players/c/croweph01.html,LW,4,94,4,5,9,-0.6,0,0,0,0,0
Matt Cullen,/players/c/cullema01.html,C,139,1516,266,465,731,66.0,0,17,47,64,0
J.J. Daigneault,/players/d/daignjj01.html,D,35,899,53,197,250,48.9,0,2,2,4,0
Jeff Daniels,/players/d/danieje01.html,LW,9,425,17,26,43,-3.1,0,1,3,4,0
Mathieu Darche,/players/d/darchma01.html,LW,2,250,30,42,72,5.5,0,0,0,0,0
Greg de Vries,/players/d/devrigr01.html,D,154,878,48,146,194,43.3,0,5,15,20,0
Michael Del Zotto,/players/d/delzomi01.html,D,25,608,54,167,221,40.6,0,1,4,5,0
Andy Delmore,/players/d/delmoan01.html,D,144,283,43,58,101,19.0,0,34,38,72,0
Phillip Di Giuseppe,/players/d/digiuph01.html,LW,3,150,14,27,41,2.7,0,0,0,0,0
Matt Donovan,/players/d/donovma01.html,D,2,69,2,18,20,2.7,0,0,1,1,0
Steve Dubinsky,/players/d/dubinst01.html,C,26,375,25,45,70,-0.1,0,5,2,7,0
Patrick Eaves,/players/e/eavespa01.html,RW,5,633,132,110,242,25.5,0,0,0,0,0
Stefan Elliott,/players/e/elliost01.html,D,2,87,8,17,25,4.7,0,0,0,0,0
Alexei Emelin,/players/e/emelial01.html,D,76,456,15,66,81,18.2,0,1,8,9,0
Dante Fabbro,/players/f/fabbrda01.html,D,4,4,1,0,1,0.2,0,1,0,1,0
Mike Farrell,/players/f/farremi01.html,RW,1,13,0,0,0,-0.1,0,0,0,0,0
Rory Fitzpatrick,/players/f/fitzpro02.html,D,2,287,10,25,35,7.0,0,0,0,0,0
Peter Forsberg*,/players/f/forsbpe01.html,C,17,708,249,636,885,97.9,0,2,13,15,0
Cody Franson,/players/f/fransco01.html,D,164,550,43,169,212,37.0,0,15,39,54,0
Doug Friedman,/players/f/frieddo01.html,LW,2,18,0,1,1,-0.3,0,0,1,1,0
Simon Gamache,/players/g/gamacsi01.html,C,18,48,6,7,13,0.7,0,1,0,1,0
Frederick Gaudreau,/players/g/gaudrfr01.html,C,84,84,3,5,8,-0.1,0,3,5,8,0
Martin Gelinas,/players/g/gelinma01.html,LW,57,1273,309,351,660,61.5,0,9,11,20,0
Blake Geoffrion,/players/g/geoffbl01.html,C,42,55,8,5,13,1.5,0,6,5,11,0
Brent Gilchrist,/players/g/gilchbr01.html,LW,41,792,135,170,305,18.5,0,1,2,3,0
Hal Gill,/players/g/gillha01.html,D,55,1108,36,148,184,48.0,0,0,5,5,0
Samuel Girard,/players/g/girarsa01.html,D,5,155,8,42,50,7.9,0,1,2,3,0
Marcel Goc,/players/g/gocma01.html,C,124,636,75,113,188,13.2,0,21,33,54,0
David Gosselin,/players/g/gosseda01.html,RW,13,13,2,1,3,0.1,0,2,1,3,0
Petter Granberg,/players/g/granbpe01.html,D,37,45,0,2,2,0.9,0,0,2,2,0
Mikael Granlund,/players/g/granlmi01.html,C,16,477,94,228,322,31.7,0,1,4,5,0
Derek Grant,/players/g/grantde01.html,C,6,208,16,29,45,1.8,0,0,1,1,0
Triston Grant,/players/g/granttr01.html,LW,3,11,0,1,1,-0.1,0,0,0,0,0
Denis Grebeshkov,/players/g/grebede01.html,D,4,234,17,68,85,13.4,0,1,1,2,0
Rocco Grimaldi,/players/g/grimaro01.html,C,53,90,10,13,23,1.6,0,5,8,13,0
Stu Grimson,/players/g/grimsst01.html,LW,30,729,17,22,39,-10.0,0,1,1,2,0
Ben Guite,/players/g/guitebe01.html,RW,6,175,19,26,45,2.7,0,0,0,0,0
Sean Haggerty,/players/h/haggese01.html,LW,3,14,1,2,3,0.2,0,0,1,1,0
Matt Halischuk,/players/h/halisma01.html,RW,136,280,33,42,75,7.4,0,24,27,51,0
Scott Hannan,/players/h/hannasc01.html,D,29,1055,38,179,217,50.8,0,0,1,1,0
Ryan Hartman,/players/h/hartmry01.html,RW,85,245,42,47,89,8.9,0,13,13,26,0
Brett Hauer,/players/h/hauerbr01.html,D,3,37,4,4,8,0.9,0,0,0,0,0
Darren Haydar,/players/h/haydada01.html,RW,2,23,1,7,8,0.7,0,0,0,0,0
Kevin Henderson,/players/h/hendeke01.html,LW,4,4,1,0,1,0.1,0,1,0,1,0
Matt Henderson,/players/h/hendema01.html,RW,2,6,0,1,1,0.0,0,0,0,0,0
Matt Hendricks,/players/h/hendrma01.html,C,44,607,54,62,116,5.2,0,2,2,4,0
Jukka Hentunen,/players/h/hentuju01.html,RW,10,38,4,5,9,0.3,0,2,2,4,0
Jamie Heward,/players/h/hewarja01.html,D,63,394,38,86,124,18.3,0,6,12,18,0
Jack Hillen,/players/h/hilleja01.html,D,55,304,13,58,71,13.2,0,2,4,6,0
Jan Hlavac,/players/h/hlavaja01.html,LW,18,436,90,134,224,21.3,0,3,10,13,0
Shane Hnidy,/players/h/hnidysh01.html,D,9,550,16,55,71,16.7,0,0,2,2,0
Cody Hodgson,/players/h/hodgsco01.html,C,39,328,64,78,142,13.2,0,3,5,8,0
Darcy Hordichuk,/players/h/hordida01.html,LW,172,542,20,21,41,0.0,0,9,11,20,0
Brad Hunt,/players/h/huntbr01.html,D,3,120,10,29,39,5.6,0,0,1,1,0
Andrew Hutchinson,/players/h/hutchan01.html,D,18,140,12,27,39,5.9,0,4,4,8,0
