Jean-Francois Berube,/players/b/berubje02.html,G,21,34,0,0,0,3.5,9,0,0,0,6
Martin Biron,/players/b/bironma01.html,G,29,508,0,14,14,88.0,230,0,1,1,9
Richard Brodeur,/players/b/broderi01.html,G,2,385,0,8,8,56.7,131,0,0,0,1
Marcel Cousineau,/players/c/cousima01.html,G,6,26,0,1,1,2.6,4,0,0,0,0
Yann Danis,/players/d/danisya01.html,G,31,55,0,0,0,8.2,17,0,0,0,10
Gerry Desjardins,/players/d/desjage01.html,G,80,332,0,2,2,47.5,123,0,0,0,14
Tom Draper,/players/d/drapeto01.html,G,7,53,0,3,3,6.4,19,0,0,0,1
Wade Dubielewicz,/players/d/dubiewa01.html,G,37,43,0,0,0,7.8,18,0,0,0,16
Mike Dunham,/players/d/dunhami01.html,G,19,394,0,5,5,65.4,141,0,1,1,4
Eric Fichaud,/players/f/fichaer01.html,G,75,95,0,1,1,12.2,22,0,1,1,19
Mark Fitzpatrick,/players/f/fitzpma01.html,G,129,329,0,12,12,52.5,113,0,6,6,51
Wade Flaherty,/players/f/flahewa01.html,G,60,120,0,3,3,13.2,27,0,1,1,15
Christopher Gibson,/players/g/gibsoch01.html,G,14,14,0,0,0,1.8,3,0,0,0,3
Gerry Gray,/players/g/grayge01.html,G,1,8,0,0,0,0.1,1,0,0,0,0
Thomas Greiss,/players/g/greisth01.html,G,162,251,0,3,3,42.3,121,0,3,3,85
Jeff Hackett,/players/h/hackeje01.html,G,43,500,0,9,9,82.6,166,0,1,1,9
Jaroslav Halak,/players/h/halakja01.html,G,177,489,0,10,10,88.8,254,0,3,3,88
Glenn Healy,/players/h/healygl01.html,G,176,437,0,15,15,62.6,166,0,6,6,66
Ron Hextall,/players/h/hextaro01.html,G,65,608,1,32,33,95.0,296,0,3,3,27
Goran Hogosta,/players/h/hogosgo01.html,G,1,22,0,0,0,2.2,5,0,0,0,0
Chad Johnson,/players/j/johnsch02.html,G,19,192,0,3,3,26.4,80,0,0,0,8
Mikko Koskinen,/players/k/koskimi01.html,G,4,59,0,2,2,8.1,27,0,0,0,2
Nathan Lawson,/players/l/lawsona01.html,G,10,11,0,0,0,0.8,1,0,0,0,1
Robin Lehner,/players/l/lehnero01.html,G,46,265,0,4,4,51.8,97,0,1,1,25
Danny Lorenz,/players/l/lorenda01.html,G,8,8,0,0,0,0.5,1,0,0,0,1
Roberto Luongo,/players/l/luongro01.html,G,24,1044,0,23,23,217.8,489,0,0,0,7
Joey MacDonald,/players/m/macdojo01.html,G,51,133,0,1,1,19.2,44,0,1,1,14
George Maneluk,/players/m/manelge01.html,G,4,4,0,0,0,0.2,1,0,0,0,1
Peter Mannino,/players/m/mannipe01.html,G,3,6,0,0,0,0.4,1,0,0,0,1
Jamie McLennan,/players/m/mclenja01.html,G,56,254,0,3,3,31.5,80,0,1,1,17
Roland Melanson,/players/m/melanro01.html,G,136,291,0,11,11,50.7,129,0,5,5,77
Al Montoya,/players/m/montoal01.html,G,51,168,0,5,5,23.7,67,0,1,1,18
Evgeni Nabokov,/players/n/nabokev01.html,G,123,697,1,15,16,117.5,353,0,5,5,57
Michal Neuvirth,/players/n/neuvimi01.html,G,5,257,0,4,4,39.3,105,0,0,0,1
Anders Nilsson,/players/n/nilssan01.html,G,23,141,0,3,3,21.8,50,0,0,0,9
Chris Osgood,/players/o/osgooch01.html,G,103,744,1,19,20,108.3,401,0,4,4,49
Felix Potvin,/players/p/potvife01.html,G,33,635,0,16,16,106.3,266,0,0,0,7
Kevin Poulin,/players/p/poulike01.html,G,50,50,0,1,1,6.0,18,0,1,1,18
Dwayne Roloson,/players/r/rolosdw01.html,G,70,606,0,14,14,102.0,227,0,1,1,29
Tommy Salo,/players/s/saloto01.html,G,187,526,0,7,7,78.6,210,0,3,3,62
Garth Snow,/players/s/snowga01.html,G,127,368,0,5,5,49.9,135,0,1,1,44
Tommy Soderstrom,/players/s/soderto01.html,G,78,156,0,2,2,19.0,45,0,0,0,19
Chris Terreri,/players/t/terrech01.html,G,8,406,0,13,13,57.4,151,0,0,0,2
Steve Valiquette,/players/v/valiqst01.html,G,6,46,0,1,1,6.1,16,0,0,0,2
John Vanbiesbrouck,/players/v/vanbijo01.html,G,44,882,0,35,38,152.7,374,0,0,0,10
Kevin Weekes,/players/w/weekeke01.html,G,36,348,0,3,3,52.6,105,0,1,1,10
Steve Weeks,/players/w/weeksst01.html,G,23,291,0,7,7,40.3,112,0,0,0,9
Keith Acton,/players/a/actonke01.html,C,71,1023,226,358,584,29.9,0,2,7,9,0
Bruce Affleck,/players/a/afflebr01.html,D,1,280,14,66,80,12.5,0,0,0,0,0
Sebastian Aho,/players/a/ahose02.html,D,22,22,1,3,4,0.3,0,1,3,4,0
Micah Aivazoff,/players/a/aivazmi01.html,C,12,92,4,6,10,-1.8,0,0,1,1,0
Mikael Andersson,/players/a/andermi01.html,LW,19,761,95,169,264,12.8,0,0,3,3,0
Niklas Andersson,/players/a/anderni01.html,LW,138,164,29,53,82,6.4,0,29,50,79,0
Dave Archibald,/players/a/archida01.html,C/LW,7,323,57,67,124,4.6,0,0,0,0,0
Derek Armstrong,/players/a/armstde01.html,C,70,477,72,149,221,18.9,0,7,10,17,0
Keith Aucoin,/players/a/aucoike01.html,C,41,145,17,32,49,4.3,0,6,6,12,0
Mathew Barzal,/players/b/barzama01.html,C,166,166,40,107,147,13.6,0,40,107,147,0
Bob Bassen,/players/b/bassebo01.html,C,184,765,88,144,232,6.3,0,16,31,47,0
Ken Baumgartner,/players/b/baumgke01.html,LW,175,696,13,41,54,-6.6,0,1,12,13,0
Taylor Beck,/players/b/beckta01.html,RW,2,92,11,12,23,1.5,0,0,0,0,0
Bob Beers,/players/b/beersbo01.html,D,35,258,28,79,107,14.2,0,2,12,14,0
Derek Bekar,/players/b/bekarde01.html,LW,4,11,0,0,0,-0.2,0,0,0,0,0
Jesse Belanger,/players/b/belanje01.html,C,12,246,59,76,135,10.8,0,0,0,0,0
Ken Belanger,/players/b/belanke01.html,LW,71,248,11,12,23,-0.2,0,4,4,8,0
Sean Bentivoglio,/players/b/bentise01.html,LW,1,1,0,0,0,0.0,0,0,0,0,0
Bill Berg,/players/b/bergbi01.html,LW,154,546,55,67,122,0.1,0,21,28,49,0
Marc-Andre Bergeron,/players/b/bergema02.html,D,69,490,82,153,235,42.6,0,15,24,39,0
Michel Bergeron,/players/b/bergemi01.html,RW,25,229,80,58,138,10.6,0,9,6,15,0
Marc Bergevin,/players/b/bergema01.html,D,76,1191,36,145,181,46.5,0,2,17,19,0
Steve Bernier,/players/b/bernist01.html,RW,28,637,105,125,230,21.6,0,1,5,6,0
Todd Bertuzzi,/players/b/bertuto01.html,RW,192,1159,314,456,770,77.4,0,35,45,80,0
Craig Berube,/players/b/berubcr01.html,LW,38,1054,61,98,159,-4.5,0,0,2,2,0
Mathieu Biron,/players/b/bironma02.html,D,74,253,12,32,44,4.9,0,4,5,9,0
Don Blackburn,/players/b/blackdo01.html,LW,56,185,23,44,67,2.0,0,7,10,17,0
Eric Boguniecki,/players/b/boguner01.html,C,11,178,34,42,76,8.3,0,0,0,0,0
Darryl Bootland,/players/b/bootlda01.html,RW,4,32,1,2,3,0.0,0,0,1,1,0
Joel Bouchard,/players/b/bouchjo01.html,D,25,364,22,53,75,15.1,0,1,8,9,0
Pierre-Marc Bouchard,/players/b/bouchpi02.html,C,28,593,110,246,356,36.0,0,4,5,9,0
Eric Boulton,/players/b/boulter01.html,LW,54,654,31,48,79,2.5,0,4,2,6,0
Randy Boyd,/players/b/boydra01.html,D,85,257,20,67,87,13.4,0,9,29,38,0
Brad Boyes,/players/b/boyesbr01.html,RW,48,822,211,294,505,53.8,0,10,25,35,0
Kip Brennan,/players/b/brennki01.html,LW,3,61,1,1,2,-0.2,0,0,0,0,0
Eric Brewer,/players/b/breweer01.html,D,89,1009,77,194,271,48.7,0,5,8,13,0
Aris Brimanis,/players/b/brimaar01.html,D,74,113,2,12,14,2.5,0,2,9,11,0
Arnie Brown,/players/b/brownar01.html,D,48,681,44,141,185,41.2,0,4,8,12,0
Sven Butenschön,/players/b/butensv01.html,D,78,140,2,12,14,2.4,0,1,10,11,0
Shawn Byram,/players/b/byramsh01.html,LW,4,5,0,0,0,-0.2,0,0,0,0,0
Ryan Caldwell,/players/c/caldwry01.html,D,2,4,0,0,0,-0.1,0,0,0,0,0
Joe Callahan,/players/c/callajo02.html,D,18,46,0,4,4,1.7,0,0,2,2,0
Craig Cameron,/players/c/camercr01.html,RW,187,552,87,65,152,3.3,0,35,34,69,0
Matt Campanale,/players/c/campama01.html,D,1,1,0,0,0,0.0,0,0,0,0,0
Matt Carkner,/players/c/carknma01.html,D,75,237,4,23,27,5.9,0,0,5,5,0
Vladimir Chebaturkin,/players/c/chebavl01.html,D,27,62,2,7,9,2.7,0,1,3,4,0
Jason Chimera,/players/c/chimeja01.html,LW,140,1107,186,229,415,37.9,0,22,22,44,0
Tom Chorske,/players/c/chorsto01.html,LW,84,596,115,122,237,16.3,0,12,24,36,0
Dean Chynoweth,/players/c/chynode01.html,D,147,241,4,18,22,7.1,0,2,10,12,0
Dave Chyzowski,/players/c/chyzoda01.html,LW,118,126,15,16,31,-0.4,0,15,16,31,0
Wendel Clark,/players/c/clarkwe01.html,LW/D,58,793,330,234,564,51.5,0,24,19,43,0
Danton Cole,/players/c/coleda01.html,C/RW,10,318,58,60,118,6.6,0,1,0,1,0
Kevin Colley,/players/c/colleke01.html,C,16,16,0,0,0,-0.2,0,0,0,0,0
Rob Collins,/players/c/colliro01.html,C,8,8,1,1,2,0.2,0,1,1,2,0
Jeremy Colliton,/players/c/collije01.html,C,57,57,3,3,6,-0.4,0,3,3,6,0
Mike Comrie,/players/c/comrimi01.html,C,117,589,168,197,365,38.1,0,28,41,69,0
Cory Conacher,/players/c/conacco01.html,LW,15,189,28,46,74,6.8,0,1,2,3,0
Pat Conacher,/players/c/conacpa01.html,LW,13,521,63,76,139,0.4,0,1,1,2,0
Tim Connolly,/players/c/connoti01.html,C,163,697,131,300,431,36.7,0,24,51,75,0
Bob Cook,/players/c/cookbo01.html,RW,55,72,13,9,22,0.6,0,10,7,17,0
Neal Coulter,/players/c/coultne01.html,RW,26,26,5,5,10,0.3,0,5,5,10,0
Adam Creighton,/players/c/creigad01.html,C,66,708,187,216,403,27.6,0,15,9,24,0
Terry Crisp,/players/c/crispte01.html,C,54,536,67,134,201,9.2,0,4,16,20,0
Doug Crossman,/players/c/crossdo01.html,D,96,914,105,359,464,67.4,0,16,50,66,0
Ted Crowley,/players/c/crowlte01.html,D,6,34,2,4,6,1.4,0,1,1,2,0
Jim Cummins,/players/c/cummiji01.html,RW,10,511,24,36,60,-3.1,0,0,0,0,0
Brian Curran,/players/c/currabr01.html,D,90,381,7,33,40,13.2,0,0,11,11,0
Kevin Czuczman,/players/c/czuczke01.html,D,13,13,0,2,2,0.0,0,0,2,2,0
J.J. Daigneault,/players/d/daignjj01.html,D,18,899,53,197,250,48.9,0,0,6,6,0
Michael Dal Colle,/players/d/dalcomi01.html,LW,32,32,3,4,7,0.5,0,3,4,7,0
Rod Dallman,/players/d/dallmro01.html,LW,4,6,1,0,1,0.0,0,1,0,1,0
Craig Darby,/players/d/darbycr01.html,C,13,196,21,35,56,2.2,0,0,2,2,0
Brandon Davidson,/players/d/davidbr01.html,D,15,162,9,14,23,4.6,0,1,1,2,0
Johan Davidsson,/players/d/davidjo02.html,C,14,83,6,9,15,0.5,0,2,4,6,0
Rob Davison,/players/d/davisro01.html,D,19,219,3,15,18,4.9,0,1,1,2,0
Jason Dawe,/players/d/daweja01.html,RW,35,366,86,90,176,16.1,0,3,5,8,0
Joe Day,/players/d/dayjo01.html,C,24,72,1,10,11,-1.4,0,0,0,0,0
Jarrett Deuling,/players/d/deulija01.html,LW,15,15,0,1,1,-0.3,0,0,1,1,0
Kevin Devine,/players/d/devinke01.html,LW,2,2,0,1,1,0.0,0,0,1,1,0
Justin Dibenedetto,/players/d/dibenju01.html,C,8,8,0,1,1,-0.1,0,0,1,1,0
Rob DiMaio,/players/d/dimairo01.html,RW,74,894,106,171,277,13.7,0,6,2,8,0
Ted Donato,/players/d/donatte01.html,LW,56,796,150,197,347,28.6,0,7,11,18,0
Mike Donnelly,/players/d/donnemi01.html,LW,3,465,114,121,235,15.2,0,0,0,0,0
Matt Donovan,/players/d/donovma01.html,D,67,69,2,18,20,2.7,0,2,17,19,0
Jamie Doornbosch,/players/d/doornja01.html,D,1,1,0,0,0,-0.1,0,0,0,0,0
Jim Dowd,/players/d/dowdji01.html,C,3,728,71,168,239,15.9,0,0,0,0,0
Ted Drury,/players/d/druryte01.html,C,55,414,41,52,93,1.6,0,2,1,3,0
Dallas Eakins,/players/e/eakinda01.html,D,2,120,0,9,9,4.1,0,0,1,1,0
Mark Eaton,/players/e/eatonma01.html,D,96,650,24,61,85,24.8,0,1,6,7,0
Jordan Eberle,/players/e/eberljo01.html,RW,159,666,209,269,478,54.0,0,44,52,96,0
John Erskine,/players/e/erskijo01.html,D,34,491,15,39,54,11.7,0,1,0,1,0
Shawn Evans,/players/e/evanssh01.html,D,2,9,1,0,1,0.3,0,1,0,1,0
Drew Fata,/players/f/fatadr01.html,D,8,8,1,1,2,0.2,0,1,1,2,0
Ruslan Fedotenko,/players/f/fedotru01.html,LW,67,863,173,193,366,36.4,0,16,17,33,0
Chris Ferraro,/players/f/ferrach01.html,C,11,74,7,9,16,0.5,0,1,3,4,0
Valtteri Filppula,/players/f/filppva01.html,C,72,948,185,309,494,46.8,0,17,14,31,0
Jeff Finley,/players/f/finleje01.html,D,87,708,13,70,83,28.7,0,1,16,17,0
Joe Finley,/players/f/finlejo01.html,D,16,21,0,1,1,-0.4,0,0,1,1,0
Mark Flood,/players/f/floodma01.html,D,6,39,3,5,8,1.2,0,0,1,1,0
Dave Fortier,/players/f/fortida01.html,D,124,205,8,21,29,10.8,0,6,14,20,0
Corey Foster,/players/f/fosteco01.html,D,7,45,5,6,11,1.2,0,0,0,0,0
Iain Fraser,/players/f/fraseia01.html,C,7,94,23,23,46,3.1,0,2,2,4,0
Jamie Fraser,/players/f/fraseja01.html,D,1,1,0,0,0,0.0,0,0,0,0,0
Mitch Fritz,/players/f/fritzmi01.html,LW,20,20,0,0,0,-0.2,0,0,0,0,0
Tanner Fritz,/players/f/fritzta01.html,C,42,42,3,5,8,-0.1,0,3,5,8,0
Paul Gagne,/players/g/gagnepa01.html,LW,9,390,110,101,211,10.8,0,1,0,1,0
Germain Gagnon,/players/g/gagnoge01.html,LW,125,259,40,101,141,7.9,0,20,43,63,0
Brett Gallant,/players/g/gallabr02.html,LW,4,4,0,0,0,0.0,0,0,0,0,0
Garry Galley,/players/g/gallega01.html,D,56,1149,125,475,600,92.0,0,6,14,20,0
Trevor Gillies,/players/g/gillitr01.html,LW,56,57,2,1,3,0.0,0,2,1,3,0
Stephen Gionta,/players/g/giontst01.html,C,31,301,16,40,56,2.4,0,1,5,6,0
Ray Giroux,/players/g/giroura01.html,D,16,38,0,13,13,1.7,0,0,9,9,0
Eric Godard,/players/g/godarer01.html,RW,107,335,6,12,18,-0.6,0,2,3,5,0
Mikhail Grabovski,/players/g/grabomi01.html,C,109,534,125,171,296,30.7,0,18,26,44,0
Denis Grebeshkov,/players/g/grebede01.html,D,21,234,17,68,85,13.4,0,0,3,3,0
Josh Green,/players/g/greenjo01.html,LW,49,341,36,40,76,5.1,0,12,14,26,0
Rick Green,/players/g/greenri01.html,D,4,845,43,220,263,45.5,0,0,0,0,0
Richard Grenier,/players/g/greniri01.html,C,10,10,1,1,2,0.0,0,1,1,2,0
Brent Grieve,/players/g/grievbr01.html,LW,3,97,20,16,36,2.7,0,0,0,0,0
Jari Gronstrand,/players/g/gronsja01.html,D,44,185,8,26,34,8.6,0,3,5,8,0
Paul Guay,/players/g/guaypa01.html,RW,3,117,11,23,34,-0.5,0,0,2,2,0
Bill Guerin,/players/g/gueribi01.html,RW,142,1263,429,427,856,94.3,0,39,41,80,0
Ari Haanpaa,/players/h/haanpar01.html,LW,60,60,6,11,17,0.3,0,6,11,17,0
Sean Haggerty,/players/h/haggese01.html,LW,10,14,1,2,3,0.2,0,1,1,2,0
Micheal Haley,/players/h/haleymi01.html,C,43,248,10,21,31,0.1,0,2,1,3,0
Bob Halkidis,/players/h/halkibo01.html,D,5,256,8,32,40,10.3,0,0,0,0,0
Kevin Haller,/players/h/halleke01.html,D,31,642,41,97,138,34.6,0,1,5,6,0
Mats Hallin,/players/h/hallima01.html,LW,108,152,17,14,31,-1.3,0,14,12,26,0
Mike Halmo,/players/h/halmomi01.html,LW,20,20,1,0,1,-0.2,0,1,0,1,0
Jeff Hamilton,/players/h/hamilje01.html,C,14,157,32,45,77,7.6,0,2,6,8,0
Mark Hamway,/players/h/hamwama01.html,RW,53,53,5,13,18,-0.1,0,5,13,18,0
Ron Handy,/players/h/handyro01.html,LW,10,14,0,3,3,-0.2,0,0,2,2,0
Richie Hansen,/players/h/hanseri01.html,C,18,20,2,8,10,0.6,0,2,6,8,0
David Harlock,/players/h/harloda01.html,D,70,212,2,14,16,1.8,0,2,6,8,0
Neil Hawryliw,/players/h/hawryne01.html,RW,1,1,0,0,0,0.0,0,0,0,0,0
Raimo Helminen,/players/h/helmira01.html,C,24,117,13,46,59,1.4,0,1,11,12,0
Darby Hendrickson,/players/h/hendrda01.html,C,16,518,65,64,129,3.3,0,1,4,5,0
Dale Henry,/players/h/henryda01.html,LW,132,132,13,26,39,0.4,0,13,26,39,0
Ian Herbers,/players/h/herbeia01.html,D,6,65,0,5,5,0.8,0,0,3,3,0
Jason Herter,/players/h/herteja01.html,D,1,1,0,1,1,0.2,0,0,1,1,0
Jamie Heward,/players/h/hewarja01.html,D,54,394,38,86,124,18.3,0,6,11,17,0
Ernie Hicke,/players/h/hickeer01.html,LW,76,520,132,140,272,16.5,0,8,13,21,0
Sean Hill,/players/h/hillse01.html,D,81,876,62,236,298,57.2,0,1,24,25,0
Jack Hillen,/players/h/hilleja01.html,D,175,304,13,58,71,13.2,0,8,42,50,0
Randy Hillier,/players/h/hillira01.html,D,8,543,16,110,126,23.5,0,0,0,0,0
Joshua Ho-Sang,/players/h/hosanjo01.html,C/RW,53,53,7,17,24,1.7,0,7,17,24,0
Jason Holland,/players/h/hollaja01.html,D,12,81,4,5,9,2.9,0,1,0,1,0
