Alex Auld,/players/a/auldal01.html,G,57,237,0,7,7,35.8,91
Mike Bales,/players/b/balesmi01.html,G,22,23,0,0,0,1.6,2
Tom Barrasso,/players/b/barrato01.html,G,7,777,0,48,48,127.8,369
Don Beaupre,/players/b/beaupdo01.html,G,71,666,0,8,8,101.3,268
Daniel Berthiaume,/players/b/berthda01.html,G,26,215,0,4,4,29.4,81
Craig Billington,/players/b/billicr01.html,G,72,332,0,6,6,33.4,110
Ben Bishop,/players/b/bishobe01.html,G,23,369,0,10,10,67.8,201
Mike Brodeur,/players/b/brodemi01.html,G,7,7,0,0,0,0.9,3
Mike Condon,/players/c/condomi01.html,G,73,129,0,2,2,17.1,45
Joey Daccord,/players/d/daccojo01.html,G,1,1,0,0,0,0.1,0
Chris Driedger,/players/d/driedch01.html,G,3,3,0,0,0,0.1,0
Brian Elliott,/players/e/elliobr01.html,G,130,441,0,8,8,68.3,225
Ray Emery,/players/e/emeryra01.html,G,134,287,0,4,4,42.3,145
Mike Fountain,/players/f/fountmi01.html,G,2,11,0,0,0,0.7,2
Martin Gerber,/players/g/gerbema01.html,G,100,229,0,7,7,41.7,113
Andrew Hammond,/players/h/hammoan01.html,G,55,56,0,1,1,10.8,27
Dominik Hasek,/players/h/hasekdo01.html,G,43,735,0,19,19,156.8,389
Marcus Hogberg,/players/h/hogbema01.html,G,4,4,0,0,0,0.3,0
Jani Hurme,/players/h/hurmeja01.html,G,48,76,0,0,0,11.2,29
Mark LaForest,/players/l/laforma01.html,G,5,103,0,6,6,12.1,25
Simon Lajeunesse,/players/l/lajeusi01.html,G,1,1,0,0,0,0.2,0
Nathan Lawson,/players/l/lawsona01.html,G,1,11,0,0,0,0.8,1
Pascal Leclaire,/players/l/leclapa01.html,G,48,173,0,4,4,26.4,61
Robin Lehner,/players/l/lehnero01.html,G,86,265,0,4,4,51.8,97
Darrin Madeley,/players/m/madelda01.html,G,39,39,0,0,0,3.2,4
Curtis McElhinney,/players/m/mcelhcu01.html,G,7,219,0,4,4,31.6,82
Mike McKenna,/players/m/mckenmi01.html,G,10,35,0,1,1,3.5,7
Mike Morrison,/players/m/morrimi01.html,G,4,29,0,1,1,1.4,11
Anders Nilsson,/players/n/nilssan01.html,G,24,141,0,3,3,21.8,50
Matt O'Connor,/players/o/oconnma01.html,G,1,1,0,0,0,0.2,0
Martin Prusek,/players/p/prusema01.html,G,48,57,0,1,1,7.6,31
Damian Rhodes,/players/r/rhodeda01.html,G,181,309,1,6,7,42.5,99
Peter Sidorkiewicz,/players/s/sidorpe01.html,G,64,246,0,9,9,28.3,79
Daniel Taylor,/players/t/tayloda02.html,G,1,4,0,0,0,0.4,1
Ron Tugnutt,/players/t/tugnuro01.html,G,166,537,0,7,7,78.9,186
Steve Weeks,/players/w/weeksst01.html,G,7,291,0,7,7,40.3,112
Vitaly Abramov,/players/a/abramvi01.html,RW,1,1,0,0,0,-0.1,0
Darren Archibald,/players/a/archida02.html,RW,3,55,6,8,14,1.1,0
Dave Archibald,/players/a/archida01.html,C/LW,135,323,57,67,124,4.6,0
Derek Armstrong,/players/a/armstde01.html,C,9,477,72,149,221,18.9,0
Tyler Arnason,/players/a/arnasty01.html,C,19,487,88,157,245,21.5,0
Blair Atcheynum,/players/a/atchebl01.html,RW,4,196,27,33,60,3.4,0
Casey Bailey,/players/b/baileca01.html,RW,7,13,1,0,1,0.1,0
Jamie Baker,/players/b/bakerja01.html,C,76,404,71,79,150,7.3,0
Chris Bala,/players/b/balach01.html,LW,6,6,0,1,1,0.1,0
Rudolfs Balcers,/players/b/balceru01.html,LW,36,36,5,9,14,0.9,0
Cody Bass,/players/b/bassco01.html,C,34,75,2,3,5,-0.3,0
Drake Batherson,/players/b/bathedr01.html,C,20,20,3,6,9,0.7,0
Brendan Bell,/players/b/bellbr02.html,D,53,102,7,21,28,3.9,0
Andre Benoit,/players/b/benoian01.html,D,41,181,11,37,48,8.0,0
Bill Berg,/players/b/bergbi01.html,LW,44,546,55,67,122,0.1,0
Radim Bicanek,/players/b/bicanra01.html,D,35,122,1,11,12,3.4,0
Mike Blunden,/players/b/blundmi01.html,RW,3,127,7,6,13,0.1,0
Brandon Bochenski,/players/b/bochebr01.html,RW,20,156,28,40,68,6.7,0
Mikkel Boedker,/players/b/boedkmi01.html,RW,71,689,116,207,323,27.1,0
Danny Bois,/players/b/boisda01.html,RW,1,1,0,0,0,0.0,0
Claude Boivin,/players/b/boivicl01.html,LW,18,132,12,19,31,-0.7,0
Peter Bondra,/players/b/bondrpe01.html,RW,23,1081,503,389,892,104.3,0
Dennis Bonvie,/players/b/bonvide01.html,RW,12,92,1,2,3,-0.7,0
Laurie Boschman,/players/b/boschla01.html,C,70,1009,229,348,577,28.1,0
