Johan Backlund,/players/b/backljo01.html,G,1,1,0,0,0,0.2,0
Stephane Beauregard,/players/b/beaurst01.html,G,16,90,0,2,2,10.6,19
Michel Belhumeur,/players/b/belhumi01.html,G,23,65,0,4,4,3.1,9
Martin Biron,/players/b/bironma01.html,G,133,508,0,14,14,88.0,230
Sergei Bobrovsky,/players/b/bobrose01.html,G,83,457,0,10,10,88.0,255
Brian Boucher,/players/b/bouchbr01.html,G,174,328,0,3,3,43.0,120
Ilya Bryzgalov,/players/b/bryzgil01.html,G,99,465,0,12,12,81.3,221
Sean Burke,/players/b/burkese01.html,G,26,820,0,28,28,141.9,324
Roman Cechmanek,/players/c/cechmro01.html,G,163,212,0,1,1,38.1,110
Frederic Chabot,/players/c/chabofr01.html,G,4,32,0,0,0,2.8,4
Marc D'Amour,/players/d/damouma01.html,G,1,16,0,0,0,2.3,2
Jeremy Duchesne,/players/d/ducheje01.html,G,1,1,0,0,0,-0.1,0
Brian Elliott,/players/e/elliobr01.html,G,69,441,0,8,8,68.3,225
Ray Emery,/players/e/emeryra01.html,G,88,287,0,4,4,42.3,145
Robert Esche,/players/e/eschero01.html,G,128,186,0,8,8,24.9,78
Bob Froese,/players/f/froesbo01.html,G,144,242,0,8,8,42.1,128
Bruce Gamble,/players/g/gamblbr01.html,G,35,328,0,1,1,42.5,111
Jeff Hackett,/players/h/hackeje01.html,G,27,500,0,9,9,82.6,166
Carter Hart,/players/h/hartca01.html,G,31,31,0,0,0,6.2,16
Cal Heeter,/players/h/heeteca01.html,G,1,1,0,0,0,0.0,0
Bruce Hoffort,/players/h/hoffobr01.html,G,9,9,0,0,0,0.9,4
Martin Houle,/players/h/houlema01.html,G,1,1,0,0,0,-0.1,0
Gary Inness,/players/i/innesga01.html,G,8,162,0,5,5,23.4,58
Darren Jensen,/players/j/jenseda01.html,G,30,30,0,1,1,4.4,15
Mark LaForest,/players/l/laforma01.html,G,38,103,0,6,6,12.1,25
Michel Larocque,/players/l/larocmi01.html,G,2,312,0,17,17,53.7,160
Michael Leighton,/players/l/leighmi01.html,G,33,110,0,4,4,14.5,37
Pelle Lindbergh,/players/l/lindbpe01.html,G,157,157,0,5,5,29.0,87
Neil Little,/players/l/littlne01.html,G,2,2,0,0,0,-0.1,0
Alex Lyon,/players/l/lyonal01.html,G,13,13,0,0,0,0.9,4
Mike McKenna,/players/m/mckenmi01.html,G,1,35,0,1,1,3.5,7
Don McLeod,/players/m/mcleodo01.html,G,4,18,0,0,0,-0.3,3
Robbie Moore,/players/m/moorero01.html,G,5,6,0,1,1,1.3,3
Jerome Mrazek,/players/m/mrazeje01.html,G,1,1,0,0,0,0.0,0
Petr Mrazek,/players/m/mrazepe01.html,G,17,223,0,3,3,34.1,101
Phil Myre,/players/m/myreph01.html,G,57,439,0,8,8,63.3,149
Michal Neuvirth,/players/n/neuvimi01.html,G,89,257,0,4,4,39.3,105
Antero Niittymaki,/players/n/niittan01.html,G,161,234,0,3,3,36.1,95
Maxime Ouellet,/players/o/ouellma01.html,G,2,12,0,1,1,2.0,2
Pete Peeters,/players/p/peetepe01.html,G,179,489,0,12,12,85.6,246
Jean-Marc Pelletier,/players/p/pelleje01.html,G,1,7,0,0,0,0.0,1
Calvin Pickard,/players/p/pickaca01.html,G,11,104,0,3,3,15.5,32
Glenn Resch,/players/r/reschgl01.html,G,22,571,0,15,15,104.0,231
Dominic Roussel,/players/r/roussdo01.html,G,139,205,0,4,4,28.8,77
Garth Snow,/players/s/snowga01.html,G,90,368,0,5,5,49.9,135
Tommy Soderstrom,/players/s/soderto01.html,G,78,156,0,2,2,19.0,45
Rick St. Croix,/players/s/stcrori01.html,G,82,131,0,2,2,21.4,49
Wayne Stephenson,/players/s/stephwa01.html,G,165,328,0,3,3,57.6,146
Anthony Stolarz,/players/s/stolaan01.html,G,19,25,0,0,0,3.7,6
Cam Talbot,/players/t/talboca01.html,G,4,288,0,3,3,50.9,138
Bobby Taylor,/players/t/taylobo02.html,G,43,45,0,1,1,3.3,15
John Vanbiesbrouck,/players/v/vanbijo01.html,G,112,882,0,35,38,152.7,374
Dunc Wilson,/players/w/wilsodu01.html,G,1,287,0,4,4,30.9,80
Ken Wregget,/players/w/wreggke01.html,G,107,575,0,24,24,85.7,225
Wendell Young,/players/y/youngwe01.html,G,6,187,0,10,10,23.8,59
Rob Zepp,/players/z/zeppro01.html,G,10,10,0,0,0,0.6,5
Greg Adams,/players/a/adamsgr01.html,LW,39,544,84,143,227,8.8,0
Dmitry Afanasenkov,/players/a/afanadm01.html,LW,41,227,27,27,54,2.8,0
Jason Akeson,/players/a/akesoja01.html,RW,15,15,1,1,2,0.2,0
Andrew Alberts,/players/a/alberan01.html,D,79,459,8,47,55,13.4,0
Ray Allison,/players/a/allisra01.html,RW,168,238,64,93,157,9.7,0
Mark Alt,/players/a/altma01.html,D,9,18,0,0,0,0.0,0
Tony Amonte,/players/a/amontto01.html,RW,93,1174,416,484,900,95.3,0
Shawn Anderson,/players/a/andersh01.html,D,1,255,11,51,62,13.1,0
Mikael Andersson,/players/a/andermi01.html,LW,43,761,95,169,264,12.8,0
Lou Angotti,/players/a/angotlo01.html,C/RW,70,653,103,186,289,15.2,0
Shawn Antoski,/players/a/antossh01.html,LW,89,183,3,5,8,-4.4,0
Bill Armstrong,/players/a/armstbi01.html,C,1,1,0,1,1,0.1,0
Fred Arthur,/players/a/arthufr01.html,D,77,80,1,8,9,2.2,0
Arron Asham,/players/a/ashamar01.html,RW,150,789,94,114,208,16.8,0
Nicolas Aube-Kubel,/players/a/aubekni01.html,RW,9,9,0,0,0,0.0,0
Dave Babych,/players/b/babycda01.html,D,39,1195,142,581,723,86.6,0
Justin Bailey,/players/b/baileju01.html,RW,11,63,5,4,9,0.4,0
Reid Bailey,/players/b/bailere01.html,D,27,40,1,3,4,1.5,0
Terry Ball,/players/b/ballte01.html,D,62,74,7,19,26,4.9,0
Norm Barnes,/players/b/barneno01.html,D,82,156,6,38,44,7.3,0
Murray Baron,/players/b/baronmu01.html,D,83,988,35,94,129,34.5,0
Len Barrie,/players/b/barrile01.html,C,9,184,19,45,64,3.8,0
Oskars Bartulis,/players/b/bartuos01.html,D,66,66,1,8,9,0.7,0
Ryan Bast,/players/b/bastry01.html,D,2,2,0,1,1,0.1,0
Nolan Baumgartner,/players/b/baumgno01.html,D,6,143,7,40,47,8.4,0
Harvey Bennett,/players/b/benneha02.html,C,53,268,44,46,90,0.9,0
Brian Benning,/players/b/bennibr01.html,D,59,568,63,233,296,41.8,0
Josef Beranek,/players/b/beranjo01.html,LW/C,134,531,118,144,262,17.8,0
Todd Bergen,/players/b/bergeto01.html,C,14,14,11,5,16,1.7,0
Bo Berglund,/players/b/berglbo01.html,RW,7,130,28,39,67,3.1,0
Serge Bernier,/players/b/bernise01.html,RW,123,302,78,119,197,14.0,0
Blair Betts,/players/b/bettsbl01.html,C,138,477,41,37,78,2.2,0
Don Biggs,/players/b/biggsdo01.html,C,11,12,2,0,2,-0.1,0
Don Blackburn,/players/b/blackdo01.html,LW,115,185,23,44,67,2.0,0
Claude Boivin,/players/b/boivicl01.html,LW,114,132,12,19,31,-0.7,0
Mike Boland,/players/b/bolanmi01.html,RW,2,2,0,0,0,-0.1,0
Mark Botell,/players/b/botelma01.html,D,32,32,4,10,14,2.5,0
Jesse Boulerice,/players/b/bouleje01.html,RW,8,172,8,2,10,0.1,0
Marc-Andre Bourdon,/players/b/bourdma01.html,D,45,45,4,3,7,1.9,0
Jason Bowen,/players/b/bowenja01.html,D,73,77,2,6,8,3.2,0
Nick Boynton,/players/b/boyntni01.html,D,10,605,34,110,144,30.0,0
Pavel Brendl,/players/b/brendpa01.html,RW,50,78,11,11,22,2.3,0
Andy Brickley,/players/b/brickan01.html,LW/C,3,385,82,140,222,12.5,0
Aris Brimanis,/players/b/brimaar01.html,D,21,113,2,12,14,2.5,0
Willie Brossart,/players/b/brosswi01.html,D,47,129,1,14,15,1.5,0
Larry Brown,/players/b/brownla01.html,D,12,455,7,53,60,21.5,0
Mike Bullard,/players/b/bullami01.html,C,124,727,329,345,674,50.7,0
Marc Bureau,/players/b/bureama01.html,C,125,567,55,83,138,3.0,0
Adam Burt,/players/b/burtad01.html,D,84,737,37,115,152,34.0,0
Mike Busniuk,/players/b/busnimi01.html,D,143,143,3,23,26,9.0,0
Viacheslav Butsayev,/players/b/butsavi01.html,C,99,132,17,26,43,1.0,0
Mike Byers,/players/b/byersmi01.html,RW,5,166,42,34,76,5.1,0
Kyle Calder,/players/c/caldeky01.html,LW,59,590,114,180,294,24.6,0
Drew Callander,/players/c/calladr01.html,C/RW,18,39,6,2,8,-0.2,0
Daniel Carcillo,/players/c/carcida01.html,LW,153,429,48,52,100,7.6,0
Dwight Carruthers,/players/c/carrudw01.html,D,1,2,0,0,0,0.1,0
Dick Cherry,/players/c/cherrdi01.html,D,139,145,12,10,22,6.9,0
Eric Chouinard,/players/c/chouier01.html,LW,46,90,11,11,22,1.8,0
Paul Coffey*,/players/c/coffepa01.html,D,94,1409,396,1135,1531,185.7,0
Carlo Colaiacovo,/players/c/colaica01.html,D,33,470,34,123,157,28.4,0
Bill Collins,/players/c/collibi01.html,RW,9,768,157,154,311,16.3,0
Mike Comrie,/players/c/comrimi01.html,C,21,589,168,197,365,38.1,0
Al Conroy,/players/c/conroal01.html,C,114,114,9,14,23,-0.9,0
Bob Corkum,/players/c/corkubo01.html,C,28,720,97,103,200,6.3,0
Riley Cote,/players/c/coteri01.html,RW,156,156,1,6,7,-0.5,0
Nick Cousins,/players/c/cousini01.html,C,107,259,31,42,73,5.8,0
Terry Crisp,/players/c/crispte01.html,C,194,536,67,134,201,9.2,0
Shawn Cronin,/players/c/cronish01.html,D,35,292,3,18,21,9.4,0
Phil Crowe,/players/c/croweph01.html,LW,16,94,4,5,9,-0.6,0
Mark Cullen,/players/c/cullema02.html,C,3,38,7,10,17,1.8,0
Jim Cummins,/players/c/cummiji01.html,RW,22,511,24,36,60,-3.1,0
Jim Cunningham,/players/c/cunniji01.html,LW,1,1,0,0,0,0.0,0
Alexandre Daigle,/players/d/daiglal02.html,C,68,616,129,198,327,25.8,0
J.J. Daigneault,/players/d/daignjj01.html,D,105,899,53,197,250,48.9,0
Rod Dallman,/players/d/dallmro01.html,LW,2,6,1,0,1,0.0,0
Kimbi Daniels,/players/d/danieki01.html,C,27,27,1,2,3,-0.5,0
Scott Daniels,/players/d/daniesc01.html,LW,56,149,8,12,20,-1.3,0
Craig Darby,/players/d/darbycr01.html,C,12,196,21,35,56,2.2,0
Barry Dean,/players/d/deanba01.html,LW,86,165,25,56,81,3.7,0
Michael Del Zotto,/players/d/delzomi01.html,D,167,608,54,167,221,40.6,0
Andy Delmore,/players/d/delmoan01.html,D,95,283,43,58,101,19.0,0
Rob DiMaio,/players/d/dimairo01.html,RW,109,894,106,171,277,13.7,0
