Ed Belfour,/players/b/belfoed01.html,G,13,963,0,34,34,157.3,484,0,0,0,3
Brian Boucher,/players/b/bouchbr01.html,G,27,328,0,3,3,43.0,120,0,0,0,15
Aaron Dell,/players/d/dellaa01.html,G,74,74,0,1,1,10.5,36,0,1,1,36
Wade Flaherty,/players/f/flahewa01.html,G,53,120,0,3,3,13.2,27,0,1,1,10
Sean Gauthier,/players/g/gauthse01.html,G,1,1,0,0,0,0.0,0,0,0,0,0
Thomas Greiss,/players/g/greisth01.html,G,44,251,0,3,3,42.3,121,0,0,0,17
Troy Grosenick,/players/g/grosetr01.html,G,2,2,0,0,0,0.6,1,0,0,0,1
Jeff Hackett,/players/h/hackeje01.html,G,78,500,0,9,9,82.6,166,0,3,3,13
Brian Hayward,/players/h/haywabr01.html,G,25,357,0,13,13,49.1,143,0,1,1,3
Kelly Hrudey,/players/h/hrudeke01.html,G,76,677,0,16,16,119.2,271,0,0,0,20
Arturs Irbe,/players/i/irbear01.html,G,183,568,0,9,9,83.6,218,0,3,3,57
Miikka Kiprusoff,/players/k/kiprumi01.html,G,47,623,0,10,10,109.9,319,0,0,0,14
Jason Muzzatti,/players/m/muzzaja01.html,G,1,62,0,1,1,7.3,13,0,0,0,0
Jarmo Myllys,/players/m/myllyja01.html,G,27,39,0,1,1,3.6,4,0,1,1,3
Antero Niittymaki,/players/n/niittan01.html,G,24,234,0,3,3,36.1,95,0,0,0,12
Dimitri Patzold,/players/p/patzodi01.html,G,3,3,0,0,0,-0.1,0,0,0,0,0
James Reimer,/players/r/reimeja01.html,G,8,338,0,3,3,58.7,144,0,0,0,6
Geoff Sarjeant,/players/s/sarjege01.html,G,4,8,0,1,1,0.2,1,0,0,0,0
Nolan Schaefer,/players/s/schaeno01.html,G,7,7,0,0,0,1.1,5,0,0,0,5
Steve Shields,/players/s/shielst01.html,G,125,246,0,2,2,39.4,80,0,2,2,48
Alex Stalock,/players/s/staloal01.html,G,62,113,0,3,3,15.0,41,0,1,1,24
Chris Terreri,/players/t/terrech01.html,G,68,406,0,13,13,57.4,151,0,5,5,19
Vesa Toskala,/players/t/toskave01.html,G,115,266,0,10,10,38.0,129,0,5,5,65
Mike Vernon,/players/v/vernomi01.html,G,126,782,0,39,39,107.1,385,0,2,2,52
Jimmy Waite,/players/w/waiteji01.html,G,15,106,0,1,1,8.3,28,0,0,0,3
Peter Ahola,/players/a/aholape01.html,D,20,123,10,17,27,6.0,0,2,3,5,0
