Jason Bacashihua,/players/b/bacasja01.html,G,38,38,0,1,1,5.3,7
Tom Barrasso,/players/b/barrato01.html,G,6,777,0,48,48,127.8,369
Chris Beckford-Tseu,/players/b/beckfch01.html,G,1,1,0,0,0,0.0,0
Yves Belanger,/players/b/belanyv01.html,G,48,78,0,4,4,8.9,29
Jordan Binnington,/players/b/binnijo01.html,G,33,33,0,0,0,5.9,24
Ben Bishop,/players/b/bishobe01.html,G,13,369,0,10,10,67.8,201
Fred Brathwaite,/players/b/brathfr01.html,G,55,254,0,3,3,35.1,81
Martin Brodeur,/players/b/brodema01.html,G,7,1266,2,45,47,207.0,691
Don Caley,/players/c/caleydo01.html,G,1,1,0,0,0,-0.1,0
Jim Carey,/players/c/careyji01.html,G,4,172,0,1,1,20.5,79
Jacques Caron,/players/c/caronja01.html,G,58,72,0,1,1,9.4,24
Jon Casey,/players/c/caseyjo01.html,G,43,425,0,13,13,61.8,170
Ty Conklin,/players/c/conklty01.html,G,51,215,0,3,3,31.0,96
Pheonix Copley,/players/c/copleph01.html,G,2,29,0,1,1,3.8,16
John Davidson,/players/d/davidjo01.html,G,79,301,0,7,7,42.9,123
Reinhard Divis,/players/d/divisre01.html,G,28,28,0,0,0,1.8,6
Gary Edwards,/players/e/edwarga01.html,G,12,286,0,5,5,36.3,88
Brian Elliott,/players/e/elliobr01.html,G,181,441,0,8,8,68.3,225
Doug Grant,/players/g/grantdo01.html,G,31,77,0,0,0,6.9,27
Gilles Gratton,/players/g/grattgi01.html,G,6,47,0,0,0,3.9,13
Jaroslav Halak,/players/h/halakja01.html,G,159,489,0,10,10,88.8,254
Glenn Hall,/players/h/hallgl01.html,G,140,906,0,9,9,177.6,407
Glen Hanlon,/players/h/hanlogl01.html,G,16,476,0,11,11,76.7,167
Guy Hebert,/players/h/hebergu01.html,G,37,491,0,6,6,92.3,191
Rick Heinz,/players/h/heinzri01.html,G,46,49,0,1,1,5.3,14
Chris Holt,/players/h/holtch01.html,G,1,2,0,0,0,0.1,0
Jim Hrivnak,/players/h/hrivnji01.html,G,23,85,0,5,5,9.5,34
