Jean-Claude Bergeron,/players/b/bergeje01.html,G,53,72,0,2,2,5.4,21,0,1,1,14
Zac Bierk,/players/b/bierkza01.html,G,26,47,0,1,1,6.2,9,0,1,1,5
Peter Budaj,/players/b/budajpe01.html,G,15,368,0,11,11,50.6,158,0,0,0,6
Sean Burke,/players/b/burkese01.html,G,35,820,0,28,28,141.9,324,0,1,1,14
Sebastien Caron,/players/c/caronse01.html,G,3,95,0,1,1,11.8,26,0,0,0,1
Dan Cloutier,/players/c/cloutda01.html,G,76,351,0,5,5,44.5,139,0,0,0,12
Gerald Coleman,/players/c/colemge01.html,G,2,2,0,0,0,0.1,0,0,0,0,0
Marc Denis,/players/d/denisma01.html,G,54,349,0,6,6,56.2,112,0,0,0,18
Cedrick Desjardins,/players/d/desjace01.html,G,6,6,0,0,0,1.0,2,0,0,0,2
Louis Domingue,/players/d/dominlo01.html,G,38,122,0,2,2,18.3,55,0,1,1,28
Brian Eklund,/players/e/eklunbr01.html,G,1,1,0,0,0,0.0,0,0,0,0,0
Dan Ellis,/players/e/ellisda01.html,G,31,212,0,6,6,30.1,87,0,1,1,13
Mark Fitzpatrick,/players/f/fitzpma01.html,G,34,329,0,12,12,52.5,113,0,1,1,7
Wade Flaherty,/players/f/flahewa01.html,G,2,120,0,3,3,13.2,27,0,0,0,0
Mathieu Garon,/players/g/garonma01.html,G,66,341,0,7,7,49.0,144,0,2,2,28
John Grahame,/players/g/grahajo01.html,G,103,224,0,9,9,29.2,97,0,1,1,53
Kristers Gudlevskis,/players/g/gudlekr01.html,G,3,3,0,0,0,0.8,1,0,0,0,1
Riku Helenius,/players/h/helenri01.html,G,1,1,0,0,0,0.0,0,0,0,0,0
Kevin Hodson,/players/h/hodsoke01.html,G,36,71,0,1,1,5.5,17,0,0,0,4
Johan Holmqvist,/players/h/holmqjo01.html,G,93,99,0,4,4,10.1,48,0,4,4,47
Pat Jablonski,/players/j/jablopa01.html,G,58,128,0,4,4,14.4,28,0,2,2,13
Nikolai Khabibulin,/players/k/khabini01.html,G,192,799,0,18,18,132.4,333,0,7,7,83
Dieter Kochan,/players/k/kochadi01.html,G,20,21,0,0,0,0.5,1,0,0,0,1
Olaf Kolzig,/players/k/kolziol01.html,G,8,719,0,17,17,122.2,303,0,0,0,2
Evgeny Konstantinov,/players/k/konstev01.html,G,2,2,0,0,0,0.0,0,0,0,0,0
Anders Lindback,/players/l/lindban01.html,G,47,130,0,4,4,16.6,45,0,1,1,18
David Littman,/players/l/littmda01.html,G,1,3,0,0,0,-0.1,0,0,0,0,0
Mike McKenna,/players/m/mckenmi01.html,G,15,35,0,1,1,3.5,7,0,1,1,4
Evgeni Nabokov,/players/n/nabokev01.html,G,11,697,1,15,16,117.5,353,0,1,1,3
Antero Niittymaki,/players/n/niittan01.html,G,49,234,0,3,3,36.1,95,0,1,1,21
Rich Parent,/players/p/parenri01.html,G,14,32,0,0,0,2.5,7,0,0,0,2
Eddie Pasquale,/players/p/pasqued01.html,G,3,3,0,0,0,0.3,2,0,0,0,2
Karri Ramo,/players/r/ramoka01.html,G,48,159,0,4,4,22.9,60,0,2,2,11
Bill Ranford,/players/r/ranfobi01.html,G,32,647,0,24,24,92.1,240,0,0,0,3
Jeff Reese,/players/r/reeseje01.html,G,19,174,0,8,8,19.9,53,0,0,0,7
Dwayne Roloson,/players/r/rolosdw01.html,G,74,606,0,14,14,102.0,227,0,1,1,31
Corey Schwab,/players/s/schwaco01.html,G,87,147,0,6,6,16.5,42,0,5,5,21
Mike Smith,/players/s/smithmi01.html,G,118,571,1,15,16,99.1,243,0,3,3,43
Rick Tabaracci,/players/t/tabarri01.html,G,55,286,0,8,8,35.5,93,0,1,1,20
Dustin Tokarski,/players/t/tokardu01.html,G,7,34,0,2,2,4.0,10,0,1,1,1
Kevin Weekes,/players/w/weekeke01.html,G,80,348,0,3,3,52.6,105,0,1,1,23
Derek Wilkinson,/players/w/wilkide01.html,G,22,22,0,0,0,1.2,3,0,0,0,3
Wendell Young,/players/y/youngwe01.html,G,40,187,0,10,10,23.8,59,0,2,2,9
Dmitry Afanasenkov,/players/a/afanadm01.html,LW,186,227,27,27,54,2.8,0,19,20,39,0
Nikita Alexeev,/players/a/alexeni01.html,RW,144,159,20,17,37,2.4,0,18,17,35,0
Mike Angelidis,/players/a/angelmi01.html,LW,14,14,2,0,2,0.3,0,2,0,2,0
Evgeny Artyukhin,/players/a/artyuev01.html,RW,145,199,19,30,49,3.4,0,10,23,33,0
Kaspars Astashenko,/players/a/astaska01.html,D/W,23,23,1,2,3,0.2,0,1,2,3,0
Adrian Aucoin,/players/a/aucoiad01.html,D,26,1108,121,278,399,80.9,0,1,11,12,0
Keith Aulie,/players/a/aulieke01.html,D,79,167,4,10,14,2.6,0,2,7,9,0
Drew Bannister,/players/b/bannidr01.html,D,98,164,5,25,30,5.4,0,5,16,21,0
Mark Barberio,/players/b/barbema01.html,D,103,251,14,40,54,10.7,0,6,11,17,0
Matthew Barnaby,/players/b/barnama01.html,RW,58,834,113,187,300,22.9,0,4,4,8,0
