Adam Berkhoel,/players/b/berkhad01.html,G,9,9,0,0,0,1.0,2
Laurent Brossoit,/players/b/brossla01.html,G,21,49,0,1,1,7.4,20
Frederic Cassivi,/players/c/cassifr01.html,G,8,13,0,0,0,1.6,3
Eric Comrie,/players/c/comrier01.html,G,5,5,0,0,0,0.2,2
Byron Dafoe,/players/d/dafoeby01.html,G,35,415,0,8,8,62.1,171
Mike Dunham,/players/d/dunhami01.html,G,17,394,0,5,5,65.4,141
Scott Fankhouser,/players/f/fankhsc01.html,G,23,23,0,0,0,3.0,4
Michael Garnett,/players/g/garnemi01.html,G,24,24,0,2,2,2.7,10
Johan Hedberg,/players/h/hedbejo01.html,G,137,373,0,10,10,51.6,161
Milan Hnilicka,/players/h/hnilimi01.html,G,117,121,0,2,2,19.5,29
Michael Hutchinson,/players/h/hutchmi01.html,G,102,111,0,1,1,15.0,46
Scott Langkow,/players/l/langksc01.html,G,15,20,0,0,0,0.4,3
Peter Mannino,/players/m/mannipe01.html,G,3,6,0,0,0,0.4,1
Norm Maracle,/players/m/maracno01.html,G,46,66,0,0,0,8.9,14
Chris Mason,/players/m/masonch02.html,G,53,317,1,3,4,50.4,137
Steve Mason,/players/m/masonst01.html,G,13,476,0,12,12,77.8,205
Al Montoya,/players/m/montoal01.html,G,35,168,0,5,5,23.7,67
Pasi Nurminen,/players/n/nurmipa01.html,G,125,125,0,5,5,19.1,48
Damian Rhodes,/players/r/rhodeda01.html,G,81,309,1,6,7,42.5,99
Steve Shields,/players/s/shielst01.html,G,5,246,0,2,2,39.4,80
Rick Tabaracci,/players/t/tabarri01.html,G,1,286,0,8,8,35.5,93
Ramzi Abid,/players/a/abidra01.html,LW,6,68,14,16,30,2.8,0
Bryan Adams,/players/a/adamsbr01.html,C,11,11,0,1,1,-0.3,0
Maxim Afinogenov,/players/a/afinoma01.html,RW,82,651,158,237,395,38.9,0
John Albert,/players/a/alberjo01.html,C,9,9,1,0,1,0.0,0
Mason Appleton,/players/a/applema01.html,C,36,36,3,7,10,1.1,0
Joel Armia,/players/a/armiajo01.html,RW,179,237,39,42,81,6.5,0
Colby Armstrong,/players/a/armstco01.html,RW,179,476,89,120,209,18.3,0
Evgeny Artyukhin,/players/a/artyuev01.html,RW,17,199,19,30,49,3.4,0
Serge Aubin,/players/a/aubinse01.html,LW,140,374,44,64,108,5.7,0
Donald Audette,/players/a/audetdo01.html,RW,78,735,260,249,509,53.4,0
Scott Barney,/players/b/barnesc01.html,C,3,27,5,6,11,1.3,0
Lubos Bartecko,/players/b/bartelu01.html,LW,108,257,46,65,111,11.7,0
Nathan Beaulieu,/players/b/beaulna01.html,D,18,332,11,70,81,16.5,0
Eric Belanger,/players/b/belaner01.html,C,24,820,138,220,358,28.9,0
Niclas Bergfors,/players/b/bergfni01.html,RW,79,173,35,48,83,7.7,0
Eric Bertrand,/players/b/bertrer01.html,LW,8,15,0,0,0,-0.4,0
Zdenek Blatny,/players/b/blatnzd01.html,LW,20,25,3,0,3,0.1,0
Peter Bondra,/players/b/bondrpe01.html,RW,60,1081,503,389,892,104.3,0
Jason Botterill,/players/b/botteja01.html,LW,25,88,5,9,14,0.0,0
Kip Brennan,/players/b/brennki01.html,LW,5,61,1,1,2,-0.2,0
Julien Brouillette,/players/b/brouiju01.html,D,1,11,1,1,2,0.7,0
Andrew Brunette,/players/b/brunean01.html,LW,158,1110,268,465,733,73.4,0
Kelly Buchberger,/players/b/buchbke01.html,RW,68,1182,105,204,309,3.0,0
Adam Burt,/players/b/burtad01.html,D,27,737,37,115,152,34.0,0
Yuri Butsayev,/players/b/butsayu01.html,LW,24,99,10,4,14,0.2,0
Petr Buzek,/players/b/buzekpe01.html,D,77,157,9,22,31,5.5,0
Chris Chelios*,/players/c/chelich01.html,D,7,1651,185,763,948,168.5,0
Erik Christensen,/players/c/chriser01.html,C,57,387,68,95,163,14.7,0
Brett Clark,/players/c/clarkbr01.html,D,44,689,45,141,186,31.7,0
Grant Clitsome,/players/c/clitsgr01.html,D,112,205,15,56,71,12.8,0
Braydon Coburn,/players/c/coburbr01.html,D,38,924,48,180,228,46.3,0
Kyle Connor,/players/c/connoky01.html,LW,178,178,67,61,128,14.1,0
Bob Corkum,/players/c/corkubo01.html,C,65,720,97,103,200,6.3,0
Patrice Cormier,/players/c/cormipa01.html,C,52,52,1,4,5,-0.2,0
Daniel Corso,/players/c/corsoda01.html,C,7,77,14,11,25,2.6,0
Jeff Cowan,/players/c/cowanje01.html,LW,162,413,47,34,81,5.3,0
Joey Crabb,/players/c/crabbjo01.html,RW,29,179,20,33,53,3.7,0
Marko Dano,/players/d/danoma01.html,C,82,138,19,26,45,4.5,0
Nigel Dawes,/players/d/dawesni01.html,LW,9,212,39,45,84,8.6,0
Chase De Leo,/players/d/deleoch01.html,C,2,3,0,0,0,0.0,0
Greg de Vries,/players/d/devrigr01.html,D,164,878,48,146,194,43.3,0
Kevin Dean,/players/d/deanke01.html,D,23,331,7,48,55,16.3,0
Joe DiPenta,/players/d/dipenjo01.html,D,3,174,6,17,23,6.5,0
Kevin Doell,/players/d/doellke01.html,C,8,8,0,1,1,-0.1,0
Hnat Domenichelli,/players/d/domenhn01.html,LW,130,267,52,61,113,8.6,0
Shean Donovan,/players/d/donovsh01.html,RW,144,951,112,129,241,13.3,0
Pascal Dupuis,/players/d/dupuipa01.html,LW,79,871,190,219,409,44.6,0
Radek Dvorak,/players/d/dvorara01.html,RW,13,1260,227,363,590,48.5,0
Ben Eager,/players/e/eagerbe01.html,LW,34,407,43,42,85,6.9,0
Keaton Ellerby,/players/e/ellerke01.html,D,52,212,4,23,27,5.7,0
Nelson Emerson,/players/e/emersne01.html,RW,58,771,195,293,488,37.4,0
Jeff Farkas,/players/f/farkaje01.html,RW,3,11,0,2,2,-0.1,0
Rico Fata,/players/f/fatari01.html,RW,6,230,27,36,63,2.3,0
Eric Fehr,/players/f/fehrer01.html,RW,35,652,113,108,221,23.9,0
Brett Festerling,/players/f/festebr01.html,D,5,88,0,8,8,2.1,0
Mark Flood,/players/f/floodma01.html,D,33,39,3,5,8,1.2,0
Kurtis Foster,/players/f/fosteku01.html,D,5,405,42,118,160,27.9,0
Michael Frolik,/players/f/frolimi01.html,LW,163,793,153,217,370,36.0,0
Aaron Gagnon,/players/g/gagnoaa01.html,C,17,38,3,2,5,0.2,0
Maxim Galanov,/players/g/galanma01.html,D,40,122,8,12,20,3.3,0
T.J. Galiardi,/players/g/galiatj01.html,LW,38,321,44,61,105,7.0,0
Simon Gamache,/players/g/gamacsi01.html,C,4,48,6,7,13,0.7,0
Johan Garpenlov,/players/g/garpejo01.html,LW,73,609,114,197,311,19.4,0
Tanner Glass,/players/g/glassta01.html,LW,78,527,24,45,69,-2.1,0
Jean-Luc Grand-Pierre,/players/g/grandje01.html,D,27,269,7,13,20,3.8,0
Steve Guolla,/players/g/guollst01.html,C,83,205,40,46,86,7.1,0
Matt Halischuk,/players/h/halisma01.html,RW,123,280,33,42,75,7.4,0
Denis Hamel,/players/h/hamelde01.html,LW,3,192,19,12,31,1.8,0
David Harlock,/players/h/harloda01.html,D,128,212,2,14,16,1.8,0
Jay Harrison,/players/h/harrija01.html,D,35,372,23,52,75,14.8,0
Mark Hartigan,/players/h/hartima01.html,C,25,102,19,11,30,2.7,0
Darren Haydar,/players/h/haydada01.html,RW,20,23,1,7,8,0.7,0
Kevin Hayes,/players/h/hayeske01.html,RW,20,381,92,137,229,25.4,0
Dany Heatley,/players/h/heatlda01.html,LW,190,869,372,419,791,95.2,0
Shawn Heins,/players/h/heinssh01.html,D,17,125,4,12,16,3.8,0
Matt Hendricks,/players/h/hendrma01.html,C,64,607,54,62,116,5.2,0
Chris Herperger,/players/h/herpech01.html,C,27,169,18,25,43,2.7,0
Shane Hnidy,/players/h/hnidysh01.html,D,138,550,16,55,71,16.7,0
Darcy Hordichuk,/players/h/hordida01.html,LW,44,542,20,21,41,0.0,0
Quinton Howden,/players/h/howdequ01.html,C,5,97,10,7,17,0.8,0
Tony Hrkac,/players/h/hrkacto01.html,C,160,758,132,239,371,25.7,0
Jason Jaffray,/players/j/jaffrja01.html,LW,13,49,4,7,11,0.8,0
Matt Johnson,/players/j/johnsma03.html,LW,64,473,23,20,43,-2.0,0
Olli Jokinen,/players/j/jokinol01.html,C,127,1231,321,429,750,71.7,0
Randy Jones,/players/j/jonesra01.html,D,39,365,20,85,105,18.5,0
Chris Joseph,/players/j/josepch01.html,D,19,510,39,112,151,21.8,0
Tomi Kallio,/players/k/kallito01.html,LW,121,140,24,31,55,3.9,0
Niko Kapanen,/players/k/kapanni01.html,C,60,397,36,90,126,7.1,0
Andreas Karlsson,/players/k/karlsan01.html,C,153,264,16,35,51,0.5,0
Geordie Kinnear,/players/k/kinnege01.html,D,4,4,0,0,0,0.0,0
Ken Klee,/players/k/kleeke01.html,D,72,934,55,140,195,33.9,0
Carl Klingberg,/players/k/klingca01.html,LW,12,12,1,0,1,0.1,0
Tomas Kloucek,/players/k/kloucto01.html,D,38,141,2,8,10,1.2,0
Ladislav Kohn,/players/k/kohnla01.html,RW,26,186,14,28,42,0.4,0
Scott Kosmachuk,/players/k/kosmasc01.html,RW,8,8,0,3,3,0.2,0
Jason Krog,/players/k/krogja01.html,C,14,202,22,37,59,5.1,0
Uwe Krupp,/players/k/kruppuw01.html,D,4,729,69,212,281,54.7,0
Pavel Kubina,/players/k/kubinpa01.html,D,76,970,110,276,386,64.1,0
Arturs Kulda,/players/k/kuldaar01.html,D,15,15,0,2,2,0.6,0
Dmitry Kulikov,/players/k/kulikdm01.html,D,119,626,33,127,160,28.7,0
Chris Kunitz,/players/k/kunitch01.html,LW,2,1022,268,351,619,74.0,0
Joel Kwiatkowski,/players/k/kwiatjo01.html,D,18,282,16,29,45,8.2,0
Denny Lambert,/players/l/lambede01.html,LW,140,487,27,66,93,2.0,0
Scott Lehman,/players/l/lehmasc01.html,D,1,1,0,0,0,0.0,0
