John Adams,/players/a/adamsjo02.html,G,8,22,0,0,0,1.5,9
Jim Bedard,/players/b/bedarji01.html,G,73,73,0,2,2,8.0,17
Michel Belhumeur,/players/b/belhumi01.html,G,42,65,0,4,4,3.1,9
Craig Billington,/players/b/billicr01.html,G,47,332,0,6,6,33.4,110
Rollie Boutin,/players/b/boutiro01.html,G,22,22,0,1,1,2.4,7
Martin Brochu,/players/b/brochma01.html,G,2,9,0,0,0,0.4,0
Jim Carey,/players/c/careyji01.html,G,139,172,0,1,1,20.5,79
Frederic Cassivi,/players/c/cassifr01.html,G,5,13,0,0,0,1.6,3
Sebastien Charpentier,/players/c/charpse01.html,G,26,26,0,0,0,3.5,6
Pheonix Copley,/players/c/copleph01.html,G,27,29,0,1,1,3.8,16
Roger Crozier,/players/c/croziro01.html,G,3,515,0,3,3,76.3,206
Byron Dafoe,/players/d/dafoeby01.html,G,10,415,0,8,8,62.1,171
Philipp Grubauer,/players/g/grubaph01.html,G,101,138,0,1,1,24.9,61
Jaroslav Halak,/players/h/halakja01.html,G,12,489,0,10,10,88.8,254
Corey Hirsch,/players/h/hirscco01.html,G,1,108,0,3,3,14.1,34
Jim Hrivnak,/players/h/hrivnji01.html,G,59,85,0,5,5,9.5,34
Cristobal Huet,/players/h/huetcr01.html,G,13,272,0,3,3,48.2,129
Gary Inness,/players/i/innesga01.html,G,54,162,0,5,5,23.4,58
Al Jensen,/players/j/jenseal01.html,G,173,179,0,3,3,26.9,95
Brent Johnson,/players/j/johnsbr02.html,G,96,309,0,10,10,43.2,140
Mike Liut,/players/l/liutmi01.html,G,64,663,0,12,12,105.3,293
Ron Low,/players/l/lowro01.html,G,145,382,0,4,4,33.4,102
Clint Malarchuk,/players/m/malarcl01.html,G,96,337,0,15,15,54.5,141
Bob Mason,/players/m/masonbo01.html,G,76,145,0,4,4,22.2,55
Robbie Moore,/players/m/moorero01.html,G,1,6,0,1,1,1.3,3
Michal Neuvirth,/players/n/neuvimi01.html,G,134,257,0,4,4,39.3,105
Maxime Ouellet,/players/o/ouellma01.html,G,6,12,0,1,1,2.0,2
Mike Palmateer,/players/p/palmami01.html,G,60,356,0,25,25,56.6,149
Dave Parro,/players/p/parroda01.html,G,77,77,0,2,2,10.0,21
Pete Peeters,/players/p/peetepe01.html,G,139,489,0,12,12,85.6,246
Justin Peters,/players/p/peterju01.html,G,12,83,0,2,2,10.6,25
Bill Ranford,/players/r/ranfobi01.html,G,40,647,0,24,24,92.1,240
Alain Raymond,/players/r/raymoal01.html,G,1,1,0,0,0,0.1,0
Pat Riggin,/players/r/riggipa01.html,G,143,350,0,7,7,51.3,153
Mike Rosati,/players/r/rosatmi01.html,G,1,1,0,0,0,0.2,1
Gary Smith,/players/s/smithga01.html,G,17,531,0,7,7,69.8,174
Rastislav Stana,/players/s/stanara01.html,G,6,6,0,0,0,0.4,1
Wayne Stephenson,/players/s/stephwa01.html,G,76,328,0,3,3,57.6,146
Rick Tabaracci,/players/t/tabarri01.html,G,69,286,0,8,8,35.5,93
Jose Theodore,/players/t/theodjo01.html,G,104,648,1,16,17,111.0,286
Semyon Varlamov,/players/v/varlasi01.html,G,59,448,0,7,7,84.3,213
Tomas Vokoun,/players/v/vokouto01.html,G,48,700,0,23,23,142.3,300
Bernie Wolfe,/players/w/wolfebe01.html,G,119,119,0,1,1,9.5,20
Matthew Yeats,/players/y/yeatsma01.html,G,5,5,0,0,0,0.8,1
Keith Acton,/players/a/actonke01.html,C,6,1023,226,358,584,29.9,0
Jason Allison,/players/a/allisja02.html,C,86,552,154,331,485,49.5,0
Murray Anderson,/players/a/andermu01.html,D,40,40,0,1,1,-0.7,0
Ron Anderson,/players/a/anderro02.html,RW,28,28,9,7,16,0.9,0
Shawn Anderson,/players/a/andersh01.html,D,110,255,11,51,62,13.1,0
Peter Andersson,/players/a/anderpe02.html,D,160,172,10,41,51,12.0,0
